element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mt,109,"=""""","=""0.0078733""","=""0.0000008""","=""""","=""1270110000""","=""""","=""6.8479e+08""","=""1.2728e-01""","=""6.5982e-05""","=""-0.59421""",AA,"=""0""","=""1270112000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Mt,109,"=""""","=""0.0084572""","=""0.0000009""","=""""","=""1182430000""","=""""","=""9.1251e+08""","=""9.7846e-02""","=""5.4484e-05""","=""-0.70843""",AA,"=""0""","=""1182430000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Mt,109,"=""""","=""0.11724""","=""0.00004""","=""""","=""85290000""","=""""","=""6.7228e+06""","=""2.7709e-01""","=""2.1391e-03""","=""-0.25635""",AA,"=""(1184820000)""","=""(1270112000)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Mt,109,"=""""","=""4.18""","=""0.05""","=""""","=""2390000""","=""""","=""""","=""""","=""""","=""""",,"=""(1182430000)""","=""(1184820000)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
