element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
U,90,"=""""","=""""","=""0.01288473""","=""0.00000013""","=""""","=""776112000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""776112200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01289336""","=""0.00000012""","=""""","=""775593000""","=""""","=""""","=""""","=""""","=""""",,"=""35967400""","=""(811560500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01290541""","=""0.00000012""","=""""","=""774869000""","=""""","=""""","=""""","=""""","=""""",,"=""35967400""","=""(810836100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01291054""","=""0.00000013""","=""""","=""774561000""","=""""","=""""","=""""","=""""","=""""",,"=""35967400""","=""(810528600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01291310""","=""0.00000013""","=""""","=""774407000""","=""""","=""""","=""""","=""""","=""""",,"=""35967400""","=""(810374700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01291579""","=""0.00000013""","=""""","=""774246000""","=""""","=""""","=""""","=""""","=""""",,"=""2263520""","=""(776509700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01291904""","=""0.00000013""","=""""","=""774052000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""774051600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01292364""","=""0.00000013""","=""""","=""773776000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""773775700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01296750""","=""0.00000014""","=""""","=""771159000""","=""""","=""""","=""""","=""""","=""""",,"=""2263520""","=""(773422300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01350362""","=""0.00000014""","=""""","=""740542000""","=""""","=""""","=""""","=""""","=""""",,"=""35967400""","=""(776509700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01356015""","=""0.00000015""","=""""","=""737455000""","=""""","=""""","=""""","=""""","=""""",,"=""35967400""","=""(773422300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
U,92,"=""""","=""""","=""0.0593324""","=""0.0000016""","=""""","=""168542000""","=""""","=""4.6332e+07""","=""4.8905e-01""","=""1.9105e-03""","=""-0.00962""",AA,"=""(787293500)""","=""(955835400)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
U,92,"=""""","=""""","=""0.059543""","=""0.000004""","=""""","=""167945000""","=""""","=""1.1842e+07""","=""1.2589e-01""","=""4.9355e-04""","=""-0.59897""",AA,"=""(787906000)""","=""(955851000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
U,92,"=""""","=""""","=""0.063382""","=""0.000008""","=""""","=""157774000""","=""""","=""2.1196e+06""","=""1.2766e-02""","=""5.3274e-05""","=""-1.59292""",AA,"=""(787293500)""","=""(945067000)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
U,92,"=""""","=""""","=""0.063714""","=""0.000010""","=""""","=""156950000""","=""""","=""2.2990e+07""","=""1.3992e-01""","=""5.8696e-04""","=""-0.55310""",AA,"=""(787906000)""","=""(944858000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
U,92,"=""""","=""""","=""0.0743236""","=""0.0000024""","=""""","=""134547000""","=""""","=""4.5351e+07""","=""5.6336e-01""","=""5.5138e-03""","=""0.35285""",AA,"=""(824097790)""","=""(958644500)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
U,92,"=""""","=""""","=""0.075908""","=""0.000003""","=""""","=""131738000""","=""""","=""7.4677e+06""","=""6.4510e-02""","=""6.4484e-04""","=""-0.58831""",AA,"=""(824097790)""","=""(955835400)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
U,92,"=""""","=""""","=""0.082666""","=""0.000014""","=""""","=""120969000""","=""""","=""8.3625e+06""","=""4.2836e-02""","=""4.6631e-04""","=""-0.76613""",AA,"=""(824097790)""","=""(945067000)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
