element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Sg,106,"=""""","=""0.0084870""","=""0.0000007""","=""""","=""1178270000""","=""""","=""6.2811e+08""","=""1.3565e-01""","=""7.5804e-05""","=""-0.56654""",AA,"=""0""","=""1178271000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sg,106,"=""""","=""0.0090671""","=""0.0000008""","=""""","=""1102890000""","=""""","=""8.1958e+08""","=""1.0102e-01""","=""6.0306e-05""","=""-0.69458""",AA,"=""0""","=""1102889000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sg,106,"=""""","=""0.13594""","=""0.00004""","=""""","=""73561000""","=""""","=""4.7064e+06""","=""2.6079e-01""","=""2.3342e-03""","=""-0.28269""",AA,"=""(1104710000)""","=""(1178271000)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sg,106,"=""""","=""5.49""","=""0.06""","=""""","=""1821000""","=""""","=""""","=""""","=""""","=""""",,"=""(1102889000)""","=""(1104710000)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
