element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Xe,2,"=""837.83""","=""""","=""837.824+""","=""""","=""0.01""","=""11932.3""","=""5h""","=""""","=""""","=""""","=""""",,"=""132207.76""","=""144140.16""","=""5s2.5p4.(1D<2>).6p""","=""2[2]*""","=""5/2""","=""5s2.5p4.(3P<0>).6d""","=""2[2]""","=""3/2""",6,4,,"=""""","=""L6925""",
Xe,1,"=""839.237""","=""0.001""","=""839.2338+""","=""""","=""0.0032""","=""11912.312""","=""20""","=""""","=""""","=""""","=""""",,"=""78119.798""","=""90032.155""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",5,3,,"=""""","=""L4739""",
Xe,1,"=""840.203""","=""0.001""","=""840.2030+""","=""""","=""0.0000""","=""11898.616""","=""5""","=""""","=""""","=""""","=""""",,"=""80322.746""","=""92221.362""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).8p""","=""2[5/2]""","=""2""",5,5,,"=""""","=""L4739""",
Xe,1,"=""840.91894""","=""0.00005""","=""840.9191+""","=""""","=""-0.0001""","=""11888.4857""","=""2000""","=""3.06e-02""","=""1.95e-02""","=""2.70e+00""","=""-1.012""",B+,"=""67067.547""","=""78956.031""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""",5,3,,"=""T3269""","=""L7292c110""",
Xe,1,"=""843.755""","=""0.001""","=""843.7563+""","=""""","=""-0.0013""","=""11848.526""","=""10""","=""9.0e-04""","=""1.6e-03""","=""1.3e-01""","=""-2.32""",C,"=""78956.031""","=""90804.538""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",3,5,,"=""T5818""","=""L4739""",
Xe,1,"=""845.037""","=""0.001""","=""845.0383+""","=""""","=""-0.0013""","=""11830.551""","=""1h""","=""""","=""""","=""""","=""""",,"=""80322.746""","=""92153.279""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).8p""","=""2[1/2]""","=""1""",5,3,,"=""""","=""L4739""",
Xe,2,"=""846.57""","=""""","=""846.551+""","=""""","=""0.02""","=""11809.1""","=""2h""","=""""","=""""","=""""","=""""",,"=""135708.32""","=""147517.71""","=""5s2.5p4.(3P<2>).6d""","=""2[2]""","=""3/2""","=""5s2.5p4.(3P<0>).4f""","=""2[3]*""","=""5/2""",4,6,,"=""""","=""L6925""",
Xe,2,"=""846.78""","=""""","=""846.768+""","=""""","=""0.01""","=""11806.2""","=""1-""","=""""","=""""","=""""","=""""",,"=""123254.60""","=""135060.97""","=""5s2.5p4.(3P<1>).6p""","=""2[2]*""","=""3/2""","=""5s2.5p4.(1D<2>).5d""","=""2[0]""","=""1/2""",4,2,,"=""""","=""L6925""",
Xe,1,"=""846.955""","=""0.02""","=""847.00+""","=""""","=""-0.05""","=""11803.8""","=""10""","=""""","=""""","=""""","=""""",,"=""92128.287""","=""103931.4""","=""5p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<1/2>).5f""","=""2[5/2]""","=""2""",3,5,,"=""""","=""L4103""",
Xe,2,"=""848.264""","=""""","=""848.261+""","=""""","=""0.003""","=""11785.54""","=""5h""","=""""","=""""","=""""","=""""",,"=""111326.96""","=""123112.54""","=""5s2.5p4.(3P<1>).5d""","=""2[2]""","=""3/2""","=""5s2.5p4.(3P<1>).6p""","=""2[2]*""","=""5/2""",4,6,,"=""""","=""L6925""",
Xe,1,"=""850.102""","=""0.001""","=""850.104+""","=""""","=""-0.002""","=""11760.063""","=""1""","=""""","=""""","=""""","=""""",,"=""82430.204""","=""94190.24""","=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<3/2>).9p""","=""2[3/2]""","=""2""",7,5,,"=""""","=""L4739""",
Xe,2,"=""851.519""","=""""","=""851.52+""","=""""","=""0.00""","=""11740.49""","=""50Hw""","=""""","=""""","=""""","=""""",,"=""139782.0""","=""151522.5""","=""5s2.5p4.(3P<2>).4f""","=""2[5]*""","=""11/2""","=""5s2.5p4.(3P<2>).5g""","=""2[6]""","=""13/2""",12,14,,"=""""","=""L6925""",
