obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""91.3339105""","=""0.0000008""","=""""","=""109488.3592""","=""""","=""1.5776e-05""","=""1.1364e-04""","=""6.8340e-04""","=""-3.64343""",AAA,"=""0.0000000000""","=""[109488.3592]""","=""1s""","=""2S""","=""1/2""","=""24""","=""""","=""""",2,1152,,"=""T8637""","=""""",
"=""""","=""""","=""91.3480251""","=""0.0000008""","=""""","=""109471.4416""","=""""","=""1.9519e-05""","=""1.2917e-04""","=""7.7691e-04""","=""-3.58780""",AAA,"=""0.0000000000""","=""[109471.4416]""","=""1s""","=""2S""","=""1/2""","=""23""","=""""","=""""",2,1058,,"=""T8637""","=""""",
"=""""","=""""","=""91.3641133""","=""0.0000008""","=""""","=""109452.1650""","=""""","=""2.4380e-05""","=""1.4767e-04""","=""8.8831e-04""","=""-3.52969""",AAA,"=""0.0000000000""","=""[109452.1650]""","=""1s""","=""2S""","=""1/2""","=""22""","=""""","=""""",2,968,,"=""T8637""","=""""",
"=""""","=""""","=""91.3825609""","=""0.0000008""","=""""","=""109430.0696""","=""""","=""3.0769e-05""","=""1.6987e-04""","=""1.0221e-03""","=""-3.46884""",AAA,"=""0.0000000000""","=""[109430.0696]""","=""1s""","=""2S""","=""1/2""","=""21""","=""""","=""""",2,882,,"=""T8637""","=""""",
"=""""","=""""","=""91.4038537""","=""0.0000008""","=""""","=""109404.5776""","=""""","=""3.9276e-05""","=""1.9677e-04""","=""1.1842e-03""","=""-3.40500""",AAA,"=""0.0000000000""","=""[109404.5776]""","=""1s""","=""2S""","=""1/2""","=""20""","=""""","=""""",2,800,,"=""T8637""","=""""",
"=""""","=""""","=""91.4286086""","=""0.0000008""","=""""","=""109374.9555""","=""""","=""5.0767e-05""","=""2.2967e-04""","=""1.3826e-03""","=""-3.33786""",AAA,"=""0.0000000000""","=""[109374.9555]""","=""1s""","=""2S""","=""1/2""","=""19""","=""""","=""""",2,722,,"=""T8637""","=""""",
"=""""","=""""","=""91.4576201""","=""0.0000008""","=""""","=""109340.2604""","=""""","=""6.6540e-05""","=""2.7035e-04""","=""1.6280e-03""","=""-3.26705""",AAA,"=""0.0000000000""","=""[109340.2604]""","=""1s""","=""2S""","=""1/2""","=""18""","=""""","=""""",2,648,,"=""T8637""","=""""",
"=""""","=""""","=""91.4919242""","=""0.0000008""","=""""","=""109299.2642""","=""""","=""8.8574e-05""","=""3.2124e-04""","=""1.9351e-03""","=""-3.19215""",AAA,"=""0.0000000000""","=""[109299.2642]""","=""1s""","=""2S""","=""1/2""","=""17""","=""""","=""""",2,578,,"=""T8637""","=""""",
"=""""","=""""","=""91.5328932""","=""0.0000008""","=""""","=""109250.3433""","=""""","=""1.1997e-04""","=""3.8577e-04""","=""2.3249e-03""","=""-3.11264""",AAA,"=""0.0000000000""","=""[109250.3433]""","=""1s""","=""2S""","=""1/2""","=""16""","=""""","=""""",2,512,,"=""T8637""","=""""",
"=""""","=""""","=""91.5823751""","=""0.0000008""","=""""","=""109191.3154""","=""""","=""1.6572e-04""","=""4.6886e-04""","=""2.8272e-03""","=""-3.02793""",AAA,"=""0.0000000000""","=""[109191.3154]""","=""1s""","=""2S""","=""1/2""","=""15""","=""""","=""""",2,450,,"=""T8637""","=""""",
