obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""388.90486""","=""0.00009""","=""""","=""25705.945""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c52""",
"=""388.9064""","=""0.0006""","=""388.90557""","=""0.00021""","=""0.0008""","=""25705.84""","=""70000""","=""2.2148e-03""","=""8.0397e-03""","=""8.2370e-01""","=""-1.19167""",AAA,"=""82259.158""","=""107965.0568""","=""2""","=""""","=""""","=""8""","=""""","=""""",8,128,,"=""T8637""","=""L7436c29""",
"=""""","=""""","=""388.9074883""","=""0.0000021""","=""""","=""25705.77177""","=""""","=""2.0523e-02""","=""6.9844e-03""","=""3.5779e-01""","=""-1.55381""",AAA,"=""82259.2850014""","=""107965.05677174""","=""2p""","=""2P*""","=""3/2""","=""8d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""""","=""388.90749""","=""0.00003""","=""""","=""25705.7717""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c53""",
"=""""","=""""","=""388.9075172""","=""0.0000021""","=""""","=""25705.76986""","=""""","=""3.4205e-03""","=""7.7604e-04""","=""3.9755e-02""","=""-2.50805""",AAA,"=""82259.2850014""","=""107965.0548660""","=""2p""","=""2P*""","=""3/2""","=""8d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""""","=""388.9075951""","=""0.0000021""","=""""","=""25705.76471""","=""""","=""2.0363e-03""","=""2.3100e-04""","=""1.1834e-02""","=""-3.03433""",AAA,"=""82259.2850014""","=""107965.0497145""","=""2p""","=""2P*""","=""3/2""","=""8s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""""","=""397.0041763""","=""0.0000022""","=""""","=""25181.52791""","=""""","=""2.6093e-02""","=""1.2338e-02""","=""3.2261e-01""","=""-1.60772""",AAA,"=""82258.9191133""","=""[107440.447022]""","=""2p""","=""2P*""","=""1/2""","=""7d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""""","=""397.0042976""","=""0.0000022""","=""""","=""25181.52022""","=""""","=""1.5289e-03""","=""3.6147e-04""","=""9.4514e-03""","=""-3.14090""",AAA,"=""82258.9191133""","=""[107440.43933]""","=""2p""","=""2P*""","=""1/2""","=""7s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""""","=""397.00448""","=""0.00009""","=""""","=""25181.509""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c54""",
"=""""","=""""","=""397.0047325""","=""0.0000022""","=""""","=""25181.49263""","=""""","=""1.7972e-02""","=""8.4981e-03""","=""2.2220e-01""","=""-1.76965""",AAA,"=""82258.9543992821""","=""[107440.44703]""","=""2s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""""","=""397.0048539""","=""0.0000022""","=""""","=""25181.48493""","=""""","=""""","=""""","=""""","=""""",,"=""82258.9543992821""","=""[107440.43933]""","=""2s""","=""2S""","=""1/2""","=""7s""","=""2S""","=""1/2""",2,2,M1,"=""""","=""""",
"=""""","=""""","=""397.0048670""","=""0.0000022""","=""""","=""25181.48410""","=""""","=""1.7972e-02""","=""4.2490e-03""","=""1.1110e-01""","=""-2.07068""",AAA,"=""82258.9543992821""","=""[107440.43850]""","=""2s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""""","=""397.00719""","=""0.00009""","=""""","=""25181.337""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c55""",
"=""397.0075""","=""0.0006""","=""397.00788""","=""0.00022""","=""-0.0004""","=""25181.32""","=""30000""","=""4.3889e-03""","=""1.2711e-02""","=""1.3295e+00""","=""-0.99272""",AAA,"=""82259.158""","=""107440.4508""","=""2""","=""""","=""""","=""7""","=""""","=""""",8,98,,"=""T8637""","=""L7436c29""",
"=""""","=""""","=""397.0099002""","=""0.0000022""","=""""","=""25181.16486""","=""""","=""3.1311e-02""","=""1.1104e-02""","=""5.8070e-01""","=""-1.35245""",AAA,"=""82259.2850014""","=""[107440.449866]""","=""2p""","=""2P*""","=""3/2""","=""7d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""""","=""397.00991""","=""0.00003""","=""""","=""25181.1642""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c56""",
"=""""","=""""","=""397.0099450""","=""0.0000022""","=""""","=""25181.16202""","=""""","=""5.2183e-03""","=""1.2338e-03""","=""6.4520e-02""","=""-2.30670""",AAA,"=""82259.2850014""","=""[107440.447022]""","=""2p""","=""2P*""","=""3/2""","=""7d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""""","=""397.0100663""","=""0.0000022""","=""""","=""25181.15433""","=""""","=""3.0581e-03""","=""3.6152e-04""","=""1.8905e-02""","=""-2.83981""",AAA,"=""82259.2850014""","=""[107440.43933]""","=""2p""","=""2P*""","=""3/2""","=""7s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""""","=""410.1702284""","=""0.0000021""","=""""","=""24373.24294""","=""""","=""4.2877e-02""","=""2.1641e-02""","=""5.8463e-01""","=""-1.36368""",AAA,"=""82258.9191133""","=""[106632.1620536]""","=""2p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""""","=""410.1704339""","=""0.0000021""","=""""","=""24373.23073""","=""""","=""2.4501e-03""","=""6.1832e-04""","=""1.6704e-02""","=""-2.90775""",AAA,"=""82258.9191133""","=""106632.1498416""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""""","=""410.17056""","=""0.00010""","=""""","=""24373.223""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c57""",
"=""410.1707462""","=""0.0000021""","=""410.1707462""","=""0.0000021""","=""0.0000000""","=""24373.2121704""","=""""","=""""","=""""","=""""","=""""",,"=""82258.9543992821""","=""106632.1665697""","=""2s""","=""2S""","=""1/2""","=""6d""","=""2D""","=""5/2""",2,6,E2,"=""""","=""L11759""",
"=""""","=""""","=""410.1708218""","=""0.0000021""","=""""","=""24373.20768""","=""""","=""2.8583e-02""","=""1.4427e-02""","=""3.8973e-01""","=""-1.53980""",AAA,"=""82258.9543992821""","=""[106632.1620756]""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""410.1710277""","=""0.0000021""","=""410.1710277""","=""0.0000021""","=""0.0000000""","=""24373.1954423""","=""""","=""""","=""""","=""""","=""""",,"=""82258.9543992821""","=""106632.1498416""","=""2s""","=""2S""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,M1,"=""""","=""L11759""",
"=""""","=""""","=""410.1710499""","=""0.0000021""","=""""","=""24373.19412""","=""""","=""2.8584e-02""","=""7.2136e-03""","=""1.9487e-01""","=""-1.84082""",AAA,"=""82258.9543992821""","=""[106632.1485242]""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""410.1734""","=""0.0006""","=""410.17415""","=""0.00024""","=""-0.0007""","=""24373.05""","=""70000""","=""9.7320e-03""","=""2.2105e-02""","=""2.3886e+00""","=""-0.75243""",AAA,"=""82259.158""","=""106632.1681""","=""2""","=""""","=""""","=""6""","=""""","=""""",8,72,,"=""T8637""","=""L7436c29""",
"=""""","=""""","=""410.17346""","=""0.00010""","=""""","=""24373.051""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c58""",
"=""""","=""""","=""410.1763100""","=""0.0000021""","=""""","=""24372.88157""","=""""","=""5.1450e-02""","=""1.9477e-02""","=""1.0523e+00""","=""-1.10842""",AAA,"=""82259.2850014""","=""106632.1665697""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""""","=""410.17632""","=""0.00003""","=""""","=""24372.8810""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c59""",
"=""""","=""""","=""410.1763860""","=""0.0000021""","=""""","=""24372.87705""","=""""","=""8.5748e-03""","=""2.1641e-03""","=""1.1692e-01""","=""-2.06267""",AAA,"=""82259.2850014""","=""[106632.1620536]""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""""","=""410.1765915""","=""0.0000021""","=""""","=""24372.86484""","=""""","=""4.9006e-03""","=""6.1839e-04""","=""3.3411e-02""","=""-2.60668""",AAA,"=""82259.2850014""","=""106632.1498416""","=""2p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""""","=""434.0426937""","=""0.0000022""","=""""","=""23032.73288""","=""""","=""7.8548e-02""","=""4.4395e-02""","=""1.2691e+00""","=""-1.05164""",AAA,"=""82258.9191133""","=""105291.651993""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""""","=""434.04309""","=""0.00011""","=""""","=""23032.712""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c60""",
"=""""","=""""","=""434.0430904""","=""0.0000023""","=""""","=""23032.71183""","=""""","=""4.2955e-03""","=""1.2139e-03""","=""3.4701e-02""","=""-2.61479""",AAA,"=""82258.9191133""","=""[105291.63094]""","=""2p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""""","=""434.0433568""","=""0.0000023""","=""""","=""23032.69769""","=""""","=""4.9483e-02""","=""2.7967e-02""","=""7.9949e-01""","=""-1.25232""",AAA,"=""82258.9543992821""","=""105291.65209""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""""","=""434.0437554""","=""0.0000023""","=""""","=""23032.67654""","=""""","=""""","=""""","=""""","=""""",,"=""82258.9543992821""","=""[105291.63094]""","=""2s""","=""2S""","=""1/2""","=""5s""","=""2S""","=""1/2""",2,2,M1,"=""""","=""""",
"=""""","=""""","=""434.0437982""","=""0.0000023""","=""""","=""23032.67427""","=""""","=""4.9484e-02""","=""1.3984e-02""","=""3.9975e-01""","=""-1.55334""",AAA,"=""82258.9543992821""","=""105291.62867""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""""","=""434.04634""","=""0.00011""","=""""","=""23032.539""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c61""",
"=""434.0472""","=""0.0006""","=""434.0471""","=""0.0003""","=""0.0001""","=""23032.49""","=""90000""","=""2.5304e-02""","=""4.4694e-02""","=""5.1106e+00""","=""-0.44666""",AAA,"=""82259.158""","=""105291.657""","=""2""","=""""","=""""","=""5""","=""""","=""""",8,50,,"=""T8637""","=""L7436c29""",
"=""""","=""""","=""434.0494419""","=""0.0000022""","=""""","=""23032.37479""","=""""","=""9.4254e-02""","=""3.9955e-02""","=""2.2844e+00""","=""-0.79637""",AAA,"=""82259.2850014""","=""[105291.659796]""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""""","=""434.04947""","=""0.00004""","=""""","=""23032.3733""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c62""",
"=""""","=""""","=""434.0495889""","=""0.0000022""","=""""","=""23032.36699""","=""""","=""1.5709e-02""","=""4.4395e-03""","=""2.5382e-01""","=""-1.75061""",AAA,"=""82259.2850014""","=""105291.651993""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""""","=""434.0499857""","=""0.0000023""","=""""","=""23032.34594""","=""""","=""8.5920e-03""","=""1.2141e-03""","=""6.9413e-02""","=""-2.31369""",AAA,"=""82259.2850014""","=""[105291.63094]""","=""2p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""""","=""486.1278624""","=""0.0000024""","=""""","=""20564.97514""","=""""","=""1.7188e-01""","=""1.2186e-01""","=""3.9015e+00""","=""-0.61311""",AAA,"=""82258.9191133""","=""102823.894250""","=""2p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""486.1283363""","=""0.0000024""","=""486.1283363""","=""0.0000024""","=""0.0000000""","=""20564.9550877""","=""""","=""""","=""""","=""""","=""""",,"=""82258.9543992821""","=""102823.9094871""","=""2s""","=""2S""","=""1/2""","=""4d""","=""2D""","=""5/2""",2,6,E2,"=""""","=""L9496""",
"=""""","=""""","=""486.12841""","=""0.00014""","=""""","=""20564.952""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c63""",
"=""486.1286949""","=""0.0000024""","=""486.1286949""","=""0.0000024""","="" 0.0000000""","=""20564.9399183""","=""""","=""9.6680e-02""","=""6.8544e-02""","=""2.1946e+00""","=""-0.86300""",AAA,"=""82258.9543992821""","=""102823.8943175""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L9477""",
"=""""","=""""","=""486.1288370""","=""0.0000024""","=""""","=""20564.93391""","=""""","=""8.5941e-03""","=""3.0465e-03""","=""9.7540e-02""","=""-2.21517""",AAA,"=""82258.9191133""","=""102823.8530211""","=""2p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""486.1296711""","=""0.0000024""","=""486.1296711""","=""0.0000024""","="" 0.0000000""","=""20564.8986218""","=""""","=""""","=""""","=""""","=""""",,"=""82258.9543992821""","=""102823.8530211""","=""2s""","=""2S""","=""1/2""","=""4s""","=""2S""","=""1/2""",2,2,M1,"=""""","=""L9496""",
"=""486.1297761""","=""0.0000024""","=""486.1297761""","=""0.0000024""","=""0.0000000""","=""20564.8941832""","=""""","=""9.6682e-02""","=""3.4273e-02""","=""1.0973e+00""","=""-1.16402""",AAA,"=""82258.9543992821""","=""102823.8485825""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L9477""",
"=""""","=""""","=""486.13250""","=""0.00014""","=""""","=""20564.779""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c64""",
"=""486.135""","=""0.005""","=""486.1333""","=""0.0003""","=""0.002""","=""20564.67""","=""180000""","=""8.4193e-02""","=""1.1938e-01""","=""1.5289e+01""","=""-0.01996""",AAA,"=""82259.158""","=""102823.904""","=""2""","=""""","=""""","=""4""","=""""","=""""",8,32,,"=""T8637""","=""L7439c30""",
"=""""","=""""","=""486.1361516""","=""0.0000024""","=""""","=""20564.62449""","=""""","=""2.0625e-01""","=""1.0967e-01""","=""7.0229e+00""","=""-0.35784""",AAA,"=""82259.2850014""","=""102823.9094871""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""""","=""486.13622""","=""0.00005""","=""""","=""20564.6216""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c65""",
"=""""","=""""","=""486.1365118""","=""0.0000024""","=""""","=""20564.60925""","=""""","=""3.4375e-02""","=""1.2186e-02""","=""7.8032e-01""","=""-1.31208""",AAA,"=""82259.2850014""","=""102823.894250""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""""","=""486.1374864""","=""0.0000024""","=""""","=""20564.56802""","=""""","=""1.7190e-02""","=""3.0469e-03""","=""1.9511e-01""","=""-1.91408""",AAA,"=""82259.2850014""","=""102823.8530211""","=""2p""","=""2P*""","=""3/2""","=""4s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""656.270970""","=""0.000004""","=""656.270970""","=""0.000003""","="" 0.000000""","=""15233.40033""","=""""","=""5.3877e-01""","=""6.9614e-01""","=""3.0089e+01""","=""0.14373""",AAA,"=""82258.9191133""","=""97492.319433""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""L2752""",
"=""""","=""""","=""656.2714""","=""0.0004""","=""""","=""15233.390""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c67""",
"=""""","=""""","=""656.2722""","=""0.0009""","=""""","=""15233.372""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c68""",
"=""656.272483""","=""0.000003""","=""656.272483""","=""0.000003""","="" 0.000000""","=""15233.365214""","=""""","=""2.2448e-01""","=""2.9005e-01""","=""1.2537e+01""","=""-0.23650""",AAA,"=""82258.9543992821""","=""97492.319611""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L6891c38""",
"=""""","=""""","=""656.275181""","=""0.000003""","=""""","=""15233.30259""","=""""","=""2.1046e-02""","=""1.3597e-02""","=""5.8769e-01""","=""-1.56553""",AAA,"=""82258.9191133""","=""97492.221701""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""""","=""656.276701""","=""0.000003""","=""""","=""15233.26730""","=""""","=""""","=""""","=""""","=""""",,"=""82258.9543992821""","=""97492.221701""","=""2s""","=""2S""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,M1,"=""""","=""""",
"=""""","=""""","=""656.2770""","=""0.0006""","=""""","=""15233.260""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c66""",
"=""656.277153""","=""0.000003""","=""656.277153""","=""0.000003""","=""0.000000""","=""15233.256799""","=""""","=""2.2449e-01""","=""1.4503e-01""","=""6.2687e+00""","=""-0.53750""",AAA,"=""82258.9543992821""","=""97492.211200""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L6891c38""",
"=""656.279""","=""0.003""","=""656.2819""","=""0.0007""","=""-0.003""","=""15233.21""","=""500000""","=""4.4101e-01""","=""6.4108e-01""","=""1.1084e+02""","=""0.71000""",AAA,"=""82259.158""","=""97492.304""","=""2""","=""""","=""""","=""3""","=""""","=""""",8,18,,"=""T8637""","=""L7400c29""",
"=""""","=""""","=""656.2795""","=""0.0009""","=""""","=""15233.202""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c69""",
"=""656.285175""","=""0.000007""","=""656.285177""","=""0.000003""","=""-0.000002""","=""15233.07061""","=""""","=""6.4651e-01""","=""6.2654e-01""","=""5.4162e+01""","=""0.39901""",AAA,"=""82259.2850014""","=""97492.355566""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""L2752""",
"=""""","=""""","=""656.28533""","=""0.00003""","=""""","=""15233.0670""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c71""",
"=""""","=""""","=""656.2854""","=""0.0003""","=""""","=""15233.065""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c70""",
"=""""","=""""","=""656.286734""","=""0.000003""","=""""","=""15233.03443""","=""""","=""1.0775e-01""","=""6.9615e-02""","=""6.0180e+00""","=""-0.55524""",AAA,"=""82259.2850014""","=""97492.319433""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""""","=""656.290944""","=""0.000003""","=""""","=""15232.93670""","=""""","=""4.2097e-02""","=""1.3599e-02""","=""1.1756e+00""","=""-1.26443""",AAA,"=""82259.2850014""","=""97492.221701""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""824.999""","=""0.010""","=""824.9974""","=""0.0005""","=""0.002""","=""12117.90""","=""90""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109610.2232]""","=""3""","=""""","=""""","=""40""","=""""","=""""",18,3200,,"=""""","=""L7400c29""",
"=""825.229""","=""0.010""","=""825.2399""","=""0.0005""","=""-0.011""","=""12114.52""","=""90""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109606.6628]""","=""3""","=""""","=""""","=""39""","=""""","=""""",18,3042,,"=""""","=""L7400c29""",
"=""825.499""","=""0.010""","=""825.5019""","=""0.0005""","=""-0.003""","=""12110.56""","=""90""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109602.8177]""","=""3""","=""""","=""""","=""38""","=""""","=""""",18,2888,,"=""""","=""L7400c29""",
"=""825.789""","=""0.010""","=""825.7856""","=""0.0005""","=""0.003""","=""12106.30""","=""110""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109598.6566]""","=""3""","=""""","=""""","=""37""","=""""","=""""",18,2738,,"=""""","=""L7400c29""",
"=""826.089""","=""0.010""","=""826.0936""","=""0.0005""","=""-0.005""","=""12101.91""","=""110""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109594.1439]""","=""3""","=""""","=""""","=""36""","=""""","=""""",18,2592,,"=""""","=""L7400c29""",
"=""826.428""","=""0.003""","=""826.4285""","=""0.0005""","=""-0.001""","=""12096.94""","=""110""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109589.2390]""","=""3""","=""""","=""""","=""35""","=""""","=""""",18,2450,,"=""""","=""L7400c29""",
"=""826.794""","=""0.003""","=""826.7938""","=""0.0005""","=""0.000""","=""12091.59""","=""110""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109583.8949]""","=""3""","=""""","=""""","=""34""","=""""","=""""",18,2312,,"=""""","=""L7400c29""",
"=""827.194""","=""0.003""","=""827.1931""","=""0.0005""","=""0.001""","=""12085.74""","=""140""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109578.0577]""","=""3""","=""""","=""""","=""33""","=""""","=""""",18,2178,,"=""""","=""L7400c29""",
"=""827.632""","=""0.003""","=""827.6309""","=""0.0005""","=""0.001""","=""12079.34""","=""140""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109571.6647]""","=""3""","=""""","=""""","=""32""","=""""","=""""",18,2048,,"=""""","=""L7400c29""",
"=""828.113""","=""0.003""","=""828.1123""","=""0.0005""","=""0.001""","=""12072.33""","=""140""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109564.6431]""","=""3""","=""""","=""""","=""31""","=""""","=""""",18,1922,,"=""""","=""L7400c29""",
"=""828.642""","=""0.003""","=""828.6432""","=""0.0005""","=""-0.001""","=""12064.62""","=""140""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109556.9077]""","=""3""","=""""","=""""","=""30""","=""""","=""""",18,1800,,"=""""","=""L7400c29""",
"=""829.230""","=""0.003""","=""829.2308""","=""0.0006""","=""-0.001""","=""12056.07""","=""170""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109548.3584]""","=""3""","=""""","=""""","=""29""","=""""","=""""",18,1682,,"=""""","=""L7400c29""",
"=""829.883""","=""0.003""","=""829.8835""","=""0.0006""","=""-0.001""","=""12046.58""","=""210""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109538.8768]""","=""3""","=""""","=""""","=""28""","=""""","=""""",18,1568,,"=""""","=""L7400c29""",
"=""830.610""","=""0.003""","=""830.6113""","=""0.0006""","=""-0.001""","=""12036.04""","=""250""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109528.3223]""","=""3""","=""""","=""""","=""27""","=""""","=""""",18,1458,,"=""""","=""L7400c29""",
"=""831.426""","=""0.003""","=""831.4261""","=""0.0006""","="" 0.000""","=""12024.22""","=""290""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109516.5267]""","=""3""","=""""","=""""","=""26""","=""""","=""""",18,1352,,"=""""","=""L7400c29""",
"=""832.342""","=""0.003""","=""832.3425""","=""0.0006""","=""-0.001""","=""12010.99""","=""290""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109503.2875]""","=""3""","=""""","=""""","=""25""","=""""","=""""",18,1250,,"=""""","=""L7400c29""",
"=""833.378""","=""0.003""","=""833.3783""","=""0.0006""","="" 0.000""","=""11996.06""","=""370""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109488.3592]""","=""3""","=""""","=""""","=""24""","=""""","=""""",18,1152,,"=""""","=""L7400c29""",
"=""834.554""","=""0.003""","=""834.5553""","=""0.0006""","=""-0.001""","=""11979.16""","=""500""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109471.4416]""","=""3""","=""""","=""""","=""23""","=""""","=""""",18,1058,,"=""""","=""L7400c29""",
"=""835.900""","=""0.003""","=""835.9004""","=""0.0006""","="" 0.000""","=""11959.87""","=""500""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109452.1650]""","=""3""","=""""","=""""","=""22""","=""""","=""""",18,968,,"=""""","=""L7400c29""",
"=""837.448""","=""0.003""","=""837.4476""","=""0.0006""","=""0.000""","=""11937.76""","=""600""","=""""","=""""","=""""","=""""",,"=""97492.304""","=""[109430.0696]""","=""3""","=""""","=""""","=""21""","=""""","=""""",18,882,,"=""""","=""L7400c29""",
"=""839.240""","=""0.003""","=""839.2397""","=""0.0006""","=""0.000""","=""11912.27""","=""700""","=""1.5167e-05""","=""7.1215e-04""","=""3.5426e-01""","=""-1.89215""",AAA,"=""97492.304""","=""[109404.5776]""","=""3""","=""""","=""""","=""20""","=""""","=""""",18,800,,"=""T8637""","=""L7400c29""",
"=""841.332""","=""0.003""","=""841.3318""","=""0.0006""","=""0.000""","=""11882.65""","=""700""","=""1.9643e-05""","=""8.3653e-04""","=""4.1716e-01""","=""-1.82225""",AAA,"=""97492.304""","=""[109374.9555]""","=""3""","=""""","=""""","=""19""","=""""","=""""",18,722,,"=""T8637""","=""L7400c29""",
