element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Y,1,"=""453.40869""","=""""","=""453.40865""","=""0.00003""","=""0.00004""","=""22048.975""","=""21""","=""4.4e-02""","=""1.8e-02""","=""1.6e+00""","=""-0.97""",D+,"=""16816.641""","=""38865.618""","=""4d.5s.(3D).5p""","=""z 4D*""","=""5/2""","=""4d.5s.(3D).5d""","=""f 4D""","=""7/2""",6,8,,"=""T4373""","=""L7610""",
Y,1,"=""454.43060""","=""""","=""454.43068""","=""0.00009""","=""-0.00008""","=""21999.393""","=""100""","=""4.10e-01""","=""1.27e-01""","=""1.14e+01""","=""-0.118""",A,"=""15476.533""","=""37475.922""","=""4d2.(3P).5s""","=""a 4P""","=""5/2""","=""4d2.(3P).5p""","=""y 4P*""","=""5/2""",6,6,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""455.9362""","=""""","=""455.93627""","=""0.00007""","=""-0.0001""","=""21926.75""","=""100""","=""3.8e-01""","=""2.40e-01""","=""7.2e+00""","=""-0.32""",B,"=""15221.633""","=""37148.377""","=""4d2.(3P).5s""","=""a 4P""","=""1/2""","=""4d2.(3P).5p""","=""y 4P*""","=""3/2""",2,4,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""456.43913""","=""""","=""456.43895""","=""0.00007""","=""0.00018""","=""21902.587""","=""30""","=""""","=""""","=""""","=""""",,"=""10529.169""","=""32431.765""","=""5s2.5p""","=""z 2P*""","=""1/2""","=""4d3 <1>""","=""2D""","=""3/2""",2,4,,"=""""","=""L7610,L3475""",
Y,1,"=""456.49334""","=""""","=""456.49314""","=""0.00005""","=""0.00020""","=""21899.986""","=""57""","=""1.74e-02""","=""4.4e-03""","=""6.6e-01""","=""-1.36""",B+,"=""11532.096""","=""33432.092""","=""4d2.(3F).5s""","=""a 4F""","=""9/2""","=""4d2.(3F).5p""","=""z 2G*""","=""7/2""",10,8,,"=""T9421""","=""L7610""",
Y,1,"=""457.3537""","=""""","=""457.35384""","=""0.00005""","=""-0.0001""","=""21858.79""","=""50h""","=""""","=""""","=""""","=""""",,"=""16816.641""","=""38675.424""","=""4d.5s.(3D).5p""","=""z 4D*""","=""5/2""","=""4d.5s.(3D).5d""","=""f 4D""","=""5/2""",6,6,,"=""""","=""L7610,L3475""",
Y,1,"=""458.1325""","=""""","=""458.13240""","=""0.00007""","=""0.0001""","=""21821.63""","=""35""","=""1.48e-01""","=""3.11e-02""","=""2.81e+00""","=""-0.73""",B+,"=""15326.741""","=""37148.377""","=""4d2.(3F).5s""","=""a 2F""","=""5/2""","=""4d2.(3P).5p""","=""y 4P*""","=""3/2""",6,4,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""458.17711""","=""""","=""458.17700""","=""0.00007""","=""0.00011""","=""21819.507""","=""30""","=""8.7e-02""","=""2.73e-02""","=""1.64e+00""","=""-0.96""",B+,"=""15328.865""","=""37148.377""","=""4d2.(3P).5s""","=""a 4P""","=""3/2""","=""4d2.(3P).5p""","=""y 4P*""","=""3/2""",4,4,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""458.2160""","=""""","=""458.2161""","=""0.0003""","=""-0.0001""","=""21817.65""","=""25""","=""1.79e-01""","=""5.6e-02""","=""1.70e+00""","=""-0.95""",C+,"=""15221.633""","=""37039.285""","=""4d2.(3P).5s""","=""a 4P""","=""1/2""","=""4d2.(3P).5p""","=""y 4P*""","=""1/2""",2,2,,"=""T9421""","=""L7610""",
Y,1,"=""459.6528""","=""""","=""459.65271""","=""0.00003""","=""0.0001""","=""21749.46""","=""130""","=""1.9e-01""","=""6.0e-02""","=""7.3e+00""","=""-0.32""",D+,"=""17116.156""","=""38865.618""","=""4d.5s.(3D).5p""","=""z 4D*""","=""7/2""","=""4d.5s.(3D).5d""","=""f 4D""","=""7/2""",8,8,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""460.4793""","=""""","=""460.4793""","=""0.0003""","="" 0.0000""","=""21710.42""","=""95""","=""7.1e-01""","=""1.14e-01""","=""6.9e+00""","=""-0.34""",B,"=""15328.865""","=""37039.285""","=""4d2.(3P).5s""","=""a 4P""","=""3/2""","=""4d2.(3P).5p""","=""y 4P*""","=""1/2""",4,2,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""461.29908""","=""""","=""461.29898""","=""0.00007""","=""0.00010""","=""21671.840""","=""40""","=""1.66e-01""","=""3.54e-02""","=""3.23e+00""","=""-0.67""",B+,"=""15476.533""","=""37148.377""","=""4d2.(3P).5s""","=""a 4P""","=""5/2""","=""4d2.(3P).5p""","=""y 4P*""","=""3/2""",6,4,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""464.3698""","=""""","=""464.368813""","=""0.000022""","=""0.0010""","=""21528.53""","=""2000""","=""1.8e-01""","=""8.7e-02""","=""5.3e+00""","=""-0.46""",C+,"=""0.000""","=""21528.579""","=""4d.5s2""","=""a 2D""","=""3/2""","=""4d.5s.(3D).5p""","=""z 2F*""","=""5/2""",4,6,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""465.37843""","=""""","=""465.37837""","=""0.00009""","=""0.00006""","=""21481.874""","=""140""","=""1.56e-01""","=""7.6e-02""","=""4.65e+00""","=""-0.518""",A,"=""15994.045""","=""37475.922""","=""4d2.(1D).5s""","=""b 2D""","=""3/2""","=""4d2.(3P).5p""","=""y 4P*""","=""5/2""",4,6,,"=""T4373""","=""L7610""",
Y,1,"=""465.83186""","=""""","=""465.83188""","=""0.00005""","=""-0.00002""","=""21460.965""","=""200h""","=""5.2e-01""","=""2.25e-01""","=""2.07e+01""","=""0.13""",B+,"=""16158.865""","=""37619.829""","=""4d2.(1D).5s""","=""b 2D""","=""5/2""","=""4d2.(1D).5p""","=""w 2F*""","=""7/2""",6,8,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""465.8882""","=""""","=""465.88804""","=""0.00018""","=""0.0002""","=""21458.37""","=""70""","=""""","=""""","=""""","=""""",,"=""16066.064""","=""37524.441""","=""4d.5s.(3D).5p""","=""z 2D*""","=""5/2""","=""4d3 <2>""","=""2D""","=""5/2""",6,6,,"=""""","=""L7610,L3475""",
Y,1,"=""466.74730""","=""""","=""466.7477+""","=""""","=""-0.0004""","=""21418.874""","=""85""","=""""","=""""","=""""","=""""",,"=""15994.045""","=""37412.90""","=""4d2.(1D).5s""","=""b 2D""","=""3/2""","=""""","=""""","=""5/2""",4,6,,"=""""","=""L7610,L3475""",
Y,1,"=""467.0852""","=""""","=""467.08509""","=""0.00011""","=""0.0001""","=""21403.38""","=""60""","=""""","=""""","=""""","=""""",,"=""16146.138""","=""37549.522""","=""4d.5s.(3D).5p""","=""z 2D*""","=""3/2""","=""4d3 <2>""","=""2D""","=""3/2""",4,4,,"=""""","=""L7610,L3475""",
