element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Fr,87,"=""""","=""""","=""0.01442680""","=""0.00000017""","=""""","=""693154000""","=""""","=""3.7207e+08""","=""1.1610e-01""","=""1.1028e-04""","=""-0.63415""",AA,"=""0""","=""693154200""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Fr,85,"=""""","=""""","=""0.01464319""","=""0.00000017""","=""""","=""682911000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""682911200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01465409""","=""0.00000017""","=""""","=""682403000""","=""""","=""""","=""""","=""""","=""""",,"=""[27787100]""","=""(710190400)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01466640""","=""0.00000017""","=""""","=""681831000""","=""""","=""""","=""""","=""""","=""""",,"=""[27787100]""","=""(709617800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01467284""","=""0.00000017""","=""""","=""681531000""","=""""","=""""","=""""","=""""","=""""",,"=""[27787100]""","=""(709318200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01467509""","=""0.00000017""","=""""","=""681427000""","=""""","=""""","=""""","=""""","=""""",,"=""[27787100]""","=""(709214100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01467693""","=""0.00000017""","=""""","=""681341000""","=""""","=""""","=""""","=""""","=""""",,"=""[2061300]""","=""(683402700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01468213""","=""0.00000017""","=""""","=""681100000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""681100100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01468570""","=""0.00000017""","=""""","=""680935000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""680934600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01473966""","=""0.00000017""","=""""","=""678442000""","=""""","=""""","=""""","=""""","=""""",,"=""[2061300]""","=""(680502800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01525284""","=""0.00000019""","=""""","=""655616000""","=""""","=""""","=""""","=""""","=""""",,"=""[27787100]""","=""(683402700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01532061""","=""0.00000018""","=""""","=""652716000""","=""""","=""""","=""""","=""""","=""""",,"=""[27787100]""","=""(680502800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Fr,87,"=""""","=""""","=""0.068620""","=""0.000003""","=""""","=""145730000""","=""""","=""3.6407e+07""","=""5.1402e-01""","=""2.3224e-03""","=""0.01201""",AA,"=""(693154200)""","=""(838883700)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Fr,87,"=""""","=""""","=""0.068820""","=""0.000005""","=""""","=""145307000""","=""""","=""1.0072e+07""","=""1.4303e-01""","=""6.4809e-04""","=""-0.54355""",AA,"=""(693589000)""","=""(838896000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Fr,87,"=""""","=""""","=""0.072744""","=""0.000006""","=""""","=""137469000""","=""""","=""1.6243e+06""","=""1.2886e-02""","=""6.1720e-05""","=""-1.58885""",AA,"=""(693154200)""","=""(830623000)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Fr,87,"=""""","=""""","=""0.073050""","=""0.000010""","=""""","=""136893000""","=""""","=""1.7580e+07""","=""1.4064e-01""","=""6.7646e-04""","=""-0.55085""",AA,"=""(693589000)""","=""(830482000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Fr,87,"=""""","=""""","=""0.083497""","=""0.000004""","=""""","=""119765000""","=""""","=""3.6357e+07""","=""5.7001e-01""","=""6.2674e-03""","=""0.35794""",AA,"=""(721345620)""","=""(841110200)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Fr,87,"=""""","=""""","=""0.085079""","=""0.000004""","=""""","=""117538000""","=""""","=""5.9956e+06""","=""6.5062e-02""","=""7.2893e-04""","=""-0.58461""",AA,"=""(721345620)""","=""(838883700)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Fr,87,"=""""","=""""","=""0.091510""","=""0.000010""","=""""","=""109277000""","=""""","=""6.1057e+06""","=""3.8327e-02""","=""4.6186e-04""","=""-0.81444""",AA,"=""(721345620)""","=""(830623000)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Fr,85,"=""0.359879""","=""0.000010""","=""0.359879""","=""0.000010""","="" 0.000000""","=""27787100""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""27787100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""3/2""",2,4,,"=""""","=""u57""",
Fr,87,"=""""","=""""","=""0.360274""","=""0.000013""","=""""","=""27756600""","=""""","=""4.3166e+05""","=""1.6800e-01""","=""3.9851e-03""","=""-0.47367""",AA,"=""(693589000)""","=""(721345620)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Fr,85,"=""4.8513""","=""0.0016""","=""4.8513""","=""0.0016""","="" 0.0000""","=""2061300""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""2061300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""1/2""",2,2,,"=""""","=""u57""",
