element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
C,2,"=""316.7931""","=""0.0007""","=""316.7933""","=""0.0005""","=""-0.0002""","=""31557.21""","=""110""","=""2.38e-01""","=""1.79e-02""","=""7.48e-01""","=""-1.14""",B,"=""150466.70""","=""182023.89""","=""2p3""","=""2D*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",4,2,,"=""T5109LS""","=""L1176""",
C,2,"=""316.966""","=""0.004""","=""316.969""","=""0.003""","=""-0.003""","=""31540.0""","=""21H,u""","=""6.08e-01""","=""1.22e-01""","=""7.65e+00""","=""-0.13""",C+,"=""199941.27""","=""231481.0""","=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""","=""2s.2p.(3P*).5f""","=""2G""","=""7/2""",6,8,,"=""T10528""","=""L1176""",
C,3,"=""""","=""""","=""317.0010""","=""""","=""""","=""31536.52""","=""""","=""2.26e-01""","=""1.02e-01""","=""1.07e+00""","=""-0.991""",B,"=""311721.51""","=""343258.03""","=""1s2.2s.4s""","=""1S""","=""0""","=""1s2.2s.5p""","=""1P*""","=""1""",1,3,,"=""T5633""","=""""",
C,2,"=""317.003""","=""0.004""","=""317.005""","=""0.003""","=""-0.002""","=""31536.3""","=""27H,u""","=""6.97e-01""","=""1.31e-01""","=""1.10e+01""","=""0.02""",C+,"=""199983.13""","=""231519.2""","=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""","=""2s.2p.(3P*).5f""","=""2G""","=""9/2""",8,10,,"=""T10528""","=""L1176""",
C,2,"=""317.262""","=""0.009""","=""317.2674""","=""0.0021""","=""-0.005""","=""31510.6""","=""20H""","=""9.7e-02""","=""2.0e-02""","=""1.2e+00""","=""-0.93""",C,"=""199941.27""","=""231451.31""","=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""","=""2s.2p.(3P*).5f""","=""4G""","=""7/2""",6,8,,"=""T10528""","=""L1176""",
C,2,"=""317.458""","=""0.009""","=""317.4665""","=""0.0022""","=""-0.008""","=""31491.1""","=""16H""","=""4.7e-02""","=""8.8e-03""","=""7.4e-01""","=""-1.15""",C,"=""199983.13""","=""231473.41""","=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""","=""2s.2p.(3P*).5f""","=""4G""","=""9/2""",8,10,,"=""T10528""","=""L1176""",
C,3,"=""""","=""""","=""318.261""","=""""","=""""","=""31412""","=""""","=""5.77e-02""","=""2.63e-02""","=""2.76e-01""","=""-1.580""",B,"=""338514.33""","=""369926""","=""1s2.2s.5s""","=""1S""","=""0""","=""1s2.2s.8p""","=""1P*""","=""1""",1,3,,"=""T5633""","=""""",
C,2,"=""""","=""""","=""318.358""","=""0.003""","=""""","=""31402.1""","=""""","=""2.40e-07""","=""7.30e-08""","=""1.53e-06""","=""-6.84""",B,"=""110624.18""","=""142026.24""","=""2s.2p2""","=""2P""","=""1/2""","=""2p3""","=""4S*""","=""3/2""",2,4,,"=""T7194""","=""""",
C,2,"=""""","=""""","=""318.779""","=""0.003""","=""""","=""31360.6""","=""""","=""8.09e-07""","=""1.23e-07""","=""5.18e-06""","=""-6.31""",B,"=""110665.59""","=""142026.24""","=""2s.2p2""","=""2P""","=""3/2""","=""2p3""","=""4S*""","=""3/2""",4,4,,"=""T7194""","=""""",
C,3,"=""""","=""""","=""325.8018""","=""""","=""""","=""30684.66""","=""""","=""4.90e-02""","=""2.60e-03""","=""8.37e-02""","=""-2.108""",B,"=""309457.17""","=""340141.83""","=""1s2.2s.4s""","=""3S""","=""1""","=""1s2.2p.(2P*).3d""","=""3P*""","=""0""",3,1,,"=""T5633LS""","=""""",
C,3,"=""""","=""""","=""325.9537""","=""""","=""""","=""30670.36""","=""""","=""4.89e-02""","=""7.79e-03""","=""2.51e-01""","=""-1.631""",B,"=""309457.17""","=""340127.53""","=""1s2.2s.4s""","=""3S""","=""1""","=""1s2.2p.(2P*).3d""","=""3P*""","=""1""",3,3,,"=""T5633LS""","=""""",
C,3,"=""""","=""""","=""326.2270""","=""""","=""""","=""30644.67""","=""""","=""4.88e-02""","=""1.30e-02""","=""4.18e-01""","=""-1.409""",B,"=""309457.17""","=""340101.84""","=""1s2.2s.4s""","=""3S""","=""1""","=""1s2.2p.(2P*).3d""","=""3P*""","=""2""",3,5,,"=""T5633LS""","=""""",
C,3,"=""""","=""""","=""328.883""","=""""","=""""","=""30397""","=""""","=""2.09e-02""","=""4.75e-03""","=""2.57e-01""","=""-1.625""",B,"=""340101.84""","=""370499""","=""1s2.2p.(2P*).3d""","=""3P*""","=""2""","=""1s2.2s.8d""","=""3D""","=""3""",5,7,,"=""T5633LS""","=""""",
C,3,"=""""","=""""","=""328.883""","=""""","=""""","=""30397""","=""""","=""5.23e-03""","=""8.49e-04""","=""4.60e-02""","=""-2.372""",B,"=""340101.84""","=""370499""","=""1s2.2p.(2P*).3d""","=""3P*""","=""2""","=""1s2.2s.8d""","=""3D""","=""2""",5,5,,"=""T5633LS""","=""""",
