element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Pa,91,"=""""","=""""","=""0.0130239""","=""0.0000005""","=""""","=""767820000""","=""""","=""4.4626e+08""","=""1.1348e-01""","=""9.7315e-05""","=""-0.64404""",AA,"=""0""","=""767817000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Pa,89,"=""""","=""""","=""0.0132131""","=""0.0000004""","=""""","=""756825000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""756825000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0132221""","=""0.0000004""","=""""","=""756310000""","=""""","=""""","=""""","=""""","=""""",,"=""[34184000]""","=""(790492000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0132342""","=""0.0000004""","=""""","=""755620000""","=""""","=""""","=""""","=""""","=""""",,"=""[34184000]""","=""(789800000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0132396""","=""0.0000004""","=""""","=""755310000""","=""""","=""""","=""""","=""""","=""""",,"=""[34184000]""","=""(789495000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0132421""","=""0.0000004""","=""""","=""755170000""","=""""","=""""","=""""","=""""","=""""",,"=""[34184000]""","=""(789351000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0132447""","=""0.0000004""","=""""","=""755020000""","=""""","=""""","=""""","=""""","=""""",,"=""[2231000]""","=""(757252000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0132482""","=""0.0000004""","=""""","=""754817000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""754817000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0132527""","=""0.0000004""","=""""","=""754566000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""754566000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0132987""","=""0.0000003""","=""""","=""751955000""","=""""","=""""","=""""","=""""","=""""",,"=""[2231000]""","=""(754186000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
