element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Kr,2,"=""411.373""","=""""","=""411.3718+""","=""""","=""0.001""","=""24302.0""","=""8Hl""","=""""","=""""","=""""","=""""",,"=""140135.395""","=""164437.45""","=""4s2.4p4.(3P).5p""","=""2P*""","=""3/2""","=""4s2.4p4.(3P).5d""","=""4P""","=""1/2""",4,2,,"=""""","=""L7386""",
Kr,2,"=""411.814""","=""""","=""411.8135+""","=""""","=""0.001""","=""24276.0""","=""30Hl""","=""""","=""""","=""""","=""""",,"=""140161.462""","=""164437.45""","=""4s2.4p4.(3P).5p""","=""4D*""","=""1/2""","=""4s2.4p4.(3P).5d""","=""4P""","=""1/2""",2,2,,"=""""","=""L7386""",
Kr,3,"=""413.133""","=""""","=""413.1331+""","=""""","="" 0.000""","=""24198.45""","=""40""","=""""","=""""","=""""","=""""",,"=""151580.19""","=""175778.64""","=""4s2.4p3.(4S*).5s""","=""3S*""","=""1""","=""4s2.4p3.(4S*).5p""","=""5P""","=""2""",3,5,,"=""""","=""L3356""",
Kr,2,"=""413.368""","=""""","=""413.3663+""","=""""","=""0.002""","=""24184.7""","=""5Hl""","=""""","=""""","=""""","=""""",,"=""138379.610""","=""162564.41""","=""4s2.4p4.(3P).5p""","=""4D*""","=""3/2""","=""4s2.4p4.(3P).5d""","=""4D""","=""1/2""",4,2,,"=""""","=""L7386""",
Kr,3,"=""413.456""","=""""","=""413.4500+""","=""""","=""0.006""","=""24179.55""","=""6""","=""""","=""""","=""""","=""""",,"=""185688.63""","=""209868.53""","=""4s2.4p3.(2P*).4d""","=""3D*""","=""2""","=""4s2.4p3.(2P*).5p""","=""3D""","=""3""",5,7,,"=""""","=""L7284""",
Kr,2,"=""413.586""","=""""","=""413.5841+""","=""""","=""0.002""","=""24171.95""","=""3h""","=""""","=""""","=""""","=""""",,"=""149514.06""","=""173686.12""","=""4s2.4p4.(1D).4d""","=""2D""","=""5/2""","=""4s2.4p4.(3P<0>).4f""","=""2[3]*""","=""5/2""",6,6,,"=""""","=""L7386""",
Kr,2,"=""413.796""","=""""","=""413.7962+""","=""""","="" 0.000""","=""24159.68""","=""3""","=""""","=""""","=""""","=""""",,"=""149514.06""","=""173673.73""","=""4s2.4p4.(1D).4d""","=""2D""","=""5/2""","=""4s2.4p4.(3P<0>).4f""","=""2[3]*""","=""7/2""",6,8,,"=""""","=""L10563""",
Kr,2,"=""414.51224""","=""""","=""414.51223+""","=""""","=""0.00001""","=""24117.939""","=""250""","=""""","=""""","=""""","=""""",,"=""117603.016""","=""141720.955""","=""4s2.4p4.(3P).5s""","=""4P""","=""1/2""","=""4s2.4p4.(3P).5p""","=""4S*""","=""3/2""",2,4,,"=""""","=""L605""",
Kr,3,"=""415.446""","=""""","=""415.4436+""","=""""","=""0.002""","=""24063.73""","=""40""","=""""","=""""","=""""","=""""",,"=""170898.94""","=""194962.81""","=""4s2.4p3.(2D*).5s""","=""1D*""","=""2""","=""4s2.4p3.(2D*).5p""","=""1F""","=""3""",5,7,,"=""""","=""L3356""",
Kr,3,"=""416.021""","=""""","=""416.0204+""","=""""","=""0.001""","=""24030.47""","=""4h""","=""""","=""""","=""""","=""""",,"=""188233.23""","=""212263.74""","=""4s2.4p3.(2P*).4d""","=""3D*""","=""1""","=""4s2.4p3.(2P*).5p""","=""1P""","=""1""",3,3,,"=""""","=""L3356""",
