element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ni,5,"=""37.2724""","=""0.0003""","=""37.27245""","=""0.00003""","="" 0.0000""","=""268295.0""","=""2100*""","=""1.45e+01""","=""2.34e-02""","=""2.59e-01""","=""-0.676""",D+,"=""29123.98""","=""297418.69""","=""3d6""","=""3F2""","=""4""","=""3d5.(4P).4p""","=""3D*""","=""3""",9,7,,"=""T6653c93""","=""L3739""",
Ni,5,"=""37.2724""","=""0.0003""","=""37.27295""","=""0.00004""","=""-0.0006""","=""268295.0""","=""2100*""","=""1.59e+00""","=""4.26e-03""","=""3.66e-02""","=""-1.525""",E,"=""41920.7""","=""310211.76""","=""3d6""","=""3D""","=""3""","=""3d5.(2D3).4p""","=""3F*""","=""4""",7,9,,"=""T6653c93""","=""L3739""",
Ni,5,"=""37.27560""","=""0.00010""","=""37.27563""","=""0.00003""","=""-0.00003""","=""268272.0""","=""1300""","=""1.60e+01""","=""2.39e-02""","=""2.05e-01""","=""-0.777""",D+,"=""29571.09""","=""297842.90""","=""3d6""","=""3F2""","=""3""","=""3d5.(4P).4p""","=""3D*""","=""2""",7,5,,"=""T6653c93""","=""L3739""",
Ni,17,"=""37.2833""","=""0.0007""","=""37.2810+""","=""""","=""0.0023""","=""268217""","=""190""","=""5.9e+00""","=""2.0e-02""","=""7.5e-02""","=""-1.21""",E,"=""401302""","=""669535""","=""3s.3p""","=""1P*""","=""1""","=""3p2""","=""3P""","=""2""",3,5,,"=""T3808""","=""L6578""",
Ni,5,"=""37.29872""","=""0.00010""","=""37.29871""","=""0.00004""","=""0.00001""","=""268105.7""","=""400""","=""9.18e+00""","=""1.91e-02""","=""1.65e-01""","=""-0.873""",D+,"=""57924.5""","=""326030.28""","=""3d6""","=""1F""","=""3""","=""3d5.(2F2).4p""","=""3F*""","=""3""",7,7,,"=""T6653c93""","=""L3739""",
Ni,5,"=""37.30176""","=""0.00010""","=""37.30177""","=""0.00004""","=""-0.00001""","=""268083.9""","=""550""","=""1.35e+01""","=""1.69e-02""","=""1.04e-01""","=""-1.072""",E,"=""29898.9""","=""297982.66""","=""3d6""","=""3F2""","=""2""","=""3d5.(4D).4p""","=""5P*""","=""1""",5,3,,"=""T6653c93""","=""L3739""",
Ni,5,"=""37.30832""","=""0.00010""","=""37.30831""","=""0.00006""","=""0.00001""","=""268036.7""","=""330""","=""5.62e+00""","=""9.12e-03""","=""1.01e-01""","=""-1.086""",D+,"=""77900.3""","=""345937.1""","=""3d6""","=""1G1""","=""4""","=""3d5.(2D2).4p""","=""1F*""","=""3""",9,7,,"=""T6653c93""","=""L3739,L3912""",
Ni,5,"=""37.32134""","=""0.00010""","=""37.32123""","=""0.00004""","=""0.00011""","=""267943.2""","=""170""","=""2.14e+00""","=""4.47e-03""","=""2.74e-02""","=""-1.651""",D+,"=""29898.9""","=""297842.90""","=""3d6""","=""3F2""","=""2""","=""3d5.(4P).4p""","=""3D*""","=""2""",5,5,,"=""T6653c93""","=""L3739""",
Ni,5,"=""37.33473""","=""0.00025""","=""37.33466""","=""0.00003""","=""0.00007""","=""267847.1""","=""150H""","=""1.17e+00""","=""2.45e-03""","=""2.11e-02""","=""-1.766""",D+,"=""29571.09""","=""297418.69""","=""3d6""","=""3F2""","=""3""","=""3d5.(4P).4p""","=""3D*""","=""3""",7,7,,"=""T6653c93""","=""L3739""",
Ni,5,"=""37.34007""","=""0.00010""","=""37.34011""","=""0.00003""","=""-0.00004""","=""267808.8""","=""1200""","=""9.07e+00""","=""2.32e-02""","=""2.56e-01""","=""-0.681""",D+,"=""29123.98""","=""296932.48""","=""3d6""","=""3F2""","=""4""","=""3d5.(4G).4p""","=""3G*""","=""5""",9,11,,"=""T6653c93""","=""L3739""",
