element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Rn,86,"=""""","=""""","=""0.01480770""","=""0.00000018""","=""""","=""675324000""","=""""","=""3.5505e+08""","=""1.1671e-01""","=""1.1379e-04""","=""-0.63185""",AA,"=""0""","=""675324200""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Rn,84,"=""""","=""""","=""0.01503167""","=""0.00000017""","=""""","=""665262000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""665262000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Rn,84,"=""""","=""""","=""0.01504309""","=""0.00000018""","=""""","=""664757000""","=""""","=""""","=""""","=""""","=""""",,"=""[26366200]""","=""(691123200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Rn,84,"=""""","=""""","=""0.01505547""","=""0.00000018""","=""""","=""664210000""","=""""","=""""","=""""","=""""","=""""",,"=""[26366200]""","=""(690576600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Rn,84,"=""""","=""""","=""0.01506223""","=""0.00000018""","=""""","=""663912000""","=""""","=""""","=""""","=""""","=""""",,"=""[26366200]""","=""(690278400)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Rn,84,"=""""","=""""","=""0.01506438""","=""0.00000018""","=""""","=""663817000""","=""""","=""""","=""""","=""""","=""""",,"=""[26366200]""","=""(690183600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Rn,84,"=""""","=""""","=""0.01506602""","=""0.00000018""","=""""","=""663745000""","=""""","=""""","=""""","=""""","=""""",,"=""[2019500]""","=""(665764700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Rn,84,"=""""","=""""","=""0.01507167""","=""0.00000017""","=""""","=""663496000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""663496300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Rn,84,"=""""","=""""","=""0.01507500""","=""0.00000017""","=""""","=""663350000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""663349700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""""",
Rn,84,"=""""","=""""","=""0.01513112""","=""0.00000017""","=""""","=""660890000""","=""""","=""""","=""""","=""""","=""""",,"=""[2019500]""","=""(662909100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
