element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Li,3,"=""142.4""","=""142.396338907""","=""0.000000006""","=""0.0""","=""70200""","=""""","=""1.0915e-01""","=""2.2121e-03""","=""6.2220e-02""","=""-1.87704""",AA,"=""(877930.8225495)""","=""(948157.347169)""","=""3d""","=""2D""","=""5/2""","=""5p""","=""2P*""","=""3/2""",6,4,,"=""T7771""","=""L3698""",
Li,2,"=""""","=""143.0635""","=""0.0004""","=""""","=""69899.04""","=""""","=""4.7489e-05""","=""7.2858e-06""","=""1.2706e+02""","=""-5.1375""",AAA,"=""[491373.71]""","=""[561272.75]""","=""1s.2s""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
Li,2,"=""""","=""149.2260""","=""0.0003""","=""""","=""67012.45""","=""""","=""2.719e-03""","=""1.513e-04""","=""2.230e-03""","=""-3.3430""",AA,"=""[494260.30]""","=""[561272.75]""","=""1s.2p""","=""3P*""","=""1""","=""1s.3d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""""",
Li,2,"=""""","=""149.2311""","=""0.0003""","=""""","=""67010.18""","=""""","=""1.011e-03""","=""3.376e-05""","=""8.292e-04""","=""-3.7727""",AA,"=""[494262.57]""","=""[561272.75]""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""1D""","=""2""",5,5,,"=""T8636c73""","=""""",
Li,2,"=""""","=""149.2913""","=""0.0005""","=""""","=""66983.13""","=""""","=""4.6733e+00""","=""1.5615e-01""","=""2.3024e+00""","=""-0.32933""",AAA,"=""[494260.30]""","=""[561243.43]""","=""1s.2p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""""",
Li,2,"=""149.293""","=""149.2939""","=""0.0003""","=""-0.001""","=""66982""","=""3""","=""8.4094e+00""","=""4.6833e-01""","=""6.9054e+00""","=""0.14767""",AAA,"=""[494260.30]""","=""[561242.28]""","=""1s.2p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""149.2964""","=""0.0005""","=""""","=""66980.86""","=""""","=""3.1155e-01""","=""6.2466e-03""","=""1.5351e-01""","=""-1.50539""",AAA,"=""[494262.57]""","=""[561243.43]""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
Li,2,"=""149.297""","=""149.2976""","=""0.0003""","=""-0.001""","=""66981""","=""5""","=""1.1216e+01""","=""5.2472e-01""","=""1.2895e+01""","=""0.4189""",AAA,"=""[494262.57]""","=""[561242.90]""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""149.2989""","=""0.0003""","=""""","=""66979.71""","=""""","=""2.8031e+00""","=""9.3671e-02""","=""2.3020e+00""","=""-0.32943""",AAA,"=""[494262.57]""","=""[561242.28]""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
Li,2,"=""149.304""","=""149.3034""","=""0.0005""","=""0.001""","=""66977""","=""1""","=""6.2310e+00""","=""6.2471e-01""","=""3.0706e+00""","=""-0.20432""",AAA,"=""[494265.70]""","=""[561243.43]""","=""1s.2p""","=""3P*""","=""0""","=""1s.3d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""L3501""",
Li,2,"=""155.5""","=""""","=""""","=""""","=""64300""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3160,L1992""",
Li,2,"=""165.308""","=""165.3076""","=""0.0004""","=""0.000""","=""60493""","=""3""","=""9.5283e-01""","=""3.9036e-02""","=""6.3731e-01""","=""-0.93142""",AAA,"=""[494260.30]""","=""[554753.58]""","=""1s.2p""","=""3P*""","=""1""","=""1s.3s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""L3501""",
Li,2,"=""165.313""","=""165.3138""","=""0.0004""","=""-0.001""","=""60491""","=""5""","=""1.5881e+00""","=""3.9039e-02""","=""1.0623e+00""","=""-0.7095""",AAA,"=""[494262.57]""","=""[554753.58]""","=""1s.2p""","=""3P*""","=""2""","=""1s.3s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""L3501""",
Li,2,"=""165.321""","=""165.3224""","=""0.0004""","=""-0.001""","=""60488""","=""1""","=""3.1761e-01""","=""3.9042e-02""","=""2.1249e-01""","=""-1.40847""",AAA,"=""[494265.70]""","=""[554753.58]""","=""1s.2p""","=""3P*""","=""0""","=""1s.3s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""166.8217""","=""0.0005""","=""""","=""59944.23""","=""""","=""1.5010e-05""","=""6.2624e-07""","=""5.1946e+01""","=""-5.7261""",AAA,"=""[501807.72]""","=""[561751.95]""","=""1s.2p""","=""1P*""","=""1""","=""1s.3p""","=""1P*""","=""1""",3,3,E2,"=""T7378""","=""""",
Li,2,"=""168.166""","=""168.1661""","=""0.0004""","="" 0.000""","=""59465""","=""""","=""1.0069e+01""","=""7.1150e-01""","=""1.1817e+01""","=""0.3293""",AAA,"=""[501807.72]""","=""[561272.75]""","=""1s.2p""","=""1P*""","=""1""","=""1s.3d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""168.2523""","=""0.0004""","=""""","=""59434.56""","=""""","=""3.401e-03""","=""2.405e-04""","=""3.997e-03""","=""-3.1417""",AA,"=""[501807.72]""","=""[561242.28]""","=""1s.2p""","=""1P*""","=""1""","=""1s.3d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
Li,2,"=""175.533""","=""175.5332""","=""0.0004""","="" 0.000""","=""56969""","=""""","=""2.0499e+00""","=""3.1564e-02""","=""5.4720e-01""","=""-1.02369""",AAA,"=""[501807.72]""","=""[558777.01]""","=""1s.2p""","=""1P*""","=""1""","=""1s.3s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""L3501""",
element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Li,2,"=""200.9""","=""""","=""""","=""""","=""49760""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1614""",
Li,1,"=""203.9""","=""""","=""""","=""""","=""49030""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1614""",
Li,2,"=""206.8""","=""""","=""""","=""""","=""48340""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1614""",
Li,3,"=""""","=""208.192538""","=""0.000004""","=""""","=""48017.1681""","=""""","=""4.7541e+00""","=""6.1825e-01""","=""8.4776e+00""","=""0.09219""",AA,"=""(877919.12067)""","=""(925936.28876)""","=""3p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Li,3,"=""""","=""208.195216""","=""0.000004""","=""""","=""48016.5505""","=""""","=""2.4840e+00""","=""3.2304e-01""","=""4.4296e+00""","=""-0.18972""",AA,"=""(877919.74441)""","=""(925936.294951)""","=""3s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Li,3,"=""""","=""208.207444""","=""0.000004""","=""""","=""48013.7308""","=""""","=""4.9608e-01""","=""3.2261e-02""","=""4.4241e-01""","=""-1.19029""",AA,"=""(877919.12067)""","=""(925932.85143)""","=""3p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Li,3,"=""""","=""208.211294""","=""0.000004""","=""""","=""48012.8432""","=""""","=""2.4853e+00""","=""1.6163e-01""","=""2.2165e+00""","=""-0.49045""",AA,"=""(877919.74441)""","=""(925932.587659)""","=""3s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Li,3,"=""""","=""208.225239""","=""0.000004""","=""""","=""48009.6281""","=""""","=""1.0432e+01""","=""1.0178e+00""","=""2.7918e+01""","=""0.60973""",AA,"=""(877927.8939309)""","=""(925937.52206)""","=""3d""","=""2D""","=""3/2""","=""4f""","=""2F*""","=""5/2""",4,6,,"=""T7771""","=""""",
Li,3,"=""""","=""208.225292""","=""0.000004""","=""""","=""48009.6159""","=""""","=""5.7049e+00""","=""5.5659e-01""","=""1.5267e+01""","=""0.34760""",AA,"=""(877927.908420)""","=""(925937.52429)""","=""3p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Li,3,"=""""","=""208.230562""","=""0.000004""","=""""","=""48008.4010""","=""""","=""2.8175e-02""","=""1.8327e-03""","=""5.0269e-02""","=""-2.13486""",AA,"=""(877927.8939309)""","=""(925936.294951)""","=""3d""","=""2D""","=""3/2""","=""4p""","=""2P*""","=""3/2""",4,4,,"=""T7771""","=""""",
Li,3,"=""""","=""208.230652""","=""0.000004""","=""""","=""48008.3803""","=""""","=""9.5088e-01""","=""6.1851e-02""","=""1.6965e+00""","=""-0.60659""",AA,"=""(877927.908420)""","=""(925936.28876)""","=""3p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Li,3,"=""""","=""208.235263""","=""0.000004""","=""""","=""48007.3172""","=""""","=""1.1176e+01""","=""9.6936e-01""","=""3.9885e+01""","=""0.76464""",AA,"=""(877930.8225495)""","=""(925938.13979)""","=""3d""","=""2D""","=""5/2""","=""4f""","=""2F*""","=""7/2""",6,8,,"=""T7771""","=""""",
Li,3,"=""""","=""208.237943""","=""0.000004""","=""""","=""48006.6995""","=""""","=""7.4511e-01""","=""4.8470e-02""","=""1.9943e+00""","=""-0.53637""",AA,"=""(877930.8225495)""","=""(925937.52206)""","=""3d""","=""2D""","=""5/2""","=""4f""","=""2F*""","=""5/2""",6,6,,"=""T7771""","=""""",
Li,3,"=""""","=""208.243267""","=""0.000004""","=""""","=""48005.4724""","=""""","=""2.5368e-01""","=""1.1002e-02""","=""4.5270e-01""","=""-1.18038""",AA,"=""(877930.8225495)""","=""(925936.294951)""","=""3d""","=""2D""","=""5/2""","=""4p""","=""2P*""","=""3/2""",6,4,,"=""T7771""","=""""",
Li,3,"=""""","=""208.245564""","=""0.000004""","=""""","=""48004.9430""","=""""","=""9.9306e-01""","=""3.2302e-02""","=""8.8609e-01""","=""-0.88871""",AA,"=""(877927.908420)""","=""(925932.85143)""","=""3p""","=""2P*""","=""3/2""","=""4s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Li,3,"=""""","=""208.246645""","=""0.000004""","=""""","=""48004.6937""","=""""","=""2.8214e-01""","=""9.1775e-03""","=""2.5175e-01""","=""-1.43522""",AA,"=""(877927.8939309)""","=""(925932.587659)""","=""3d""","=""2D""","=""3/2""","=""4p""","=""2P*""","=""1/2""",4,2,,"=""T7771""","=""""",
Li,2,"=""213.1""","=""""","=""""","=""""","=""46910""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1614""",
Li,2,"=""216.4""","=""""","=""""","=""""","=""46200""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1614""",
Li,1,"=""217.34""","=""217.0""","=""0.7""","=""0.3""","=""45996""","=""*""","=""""","=""""","=""""","=""""",,"=""463520""","=""509580""","=""1s.2s.2p""","=""4P*""","=""5/2""","=""1s.2s.4s""","=""4S""","=""3/2""",6,4,,"=""""","=""L1560""",
Li,1,"=""217.34""","=""217.0""","=""0.7""","=""0.3""","=""45996""","=""*""","=""""","=""""","=""""","=""""",,"=""463520""","=""509580""","=""1s.2s.2p""","=""4P*""","=""3/2""","=""1s.2s.4s""","=""4S""","=""3/2""",4,4,,"=""""","=""L1560""",
Li,1,"=""217.34""","=""217.0""","=""0.7""","=""0.3""","=""45996""","=""*""","=""""","=""""","=""""","=""""",,"=""463520""","=""509580""","=""1s.2s.2p""","=""4P*""","=""1/2""","=""1s.2s.4s""","=""4S""","=""3/2""",2,4,,"=""""","=""L1560""",
Li,2,"=""218.3""","=""""","=""""","=""""","=""45790""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1614""",
Li,2,"=""221.4""","=""""","=""""","=""""","=""45150""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1614""",
Li,2,"=""222.2""","=""""","=""""","=""""","=""44990""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1614""",
Li,2,"=""223.7""","=""""","=""""","=""""","=""44690""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1614""",
Li,2,"=""224.921""","=""224.9211""","=""0.0011""","="" 0.000""","=""44446.3""","=""w*""","=""""","=""""","=""""","=""""",,"=""[561242.28]""","=""[605688.54]""","=""1s.3d""","=""3D""","=""2""","=""1s.10f""","=""3F*""","=""2""",5,5,,"=""""","=""L3501""",
Li,2,"=""224.921""","=""224.9211""","=""0.0011""","="" 0.000""","=""44446.3""","=""w*""","=""""","=""""","=""""","=""""",,"=""[561242.28]""","=""[605688.54]""","=""1s.3d""","=""3D""","=""2""","=""1s.10f""","=""3F*""","=""3""",5,7,,"=""""","=""L3501""",
Li,2,"=""224.921""","=""224.9242""","=""0.0011""","=""-0.003""","=""44446.3""","=""w*""","=""""","=""""","=""""","=""""",,"=""[561242.90]""","=""[605688.54]""","=""1s.3d""","=""3D""","=""3""","=""1s.10f""","=""3F*""","=""3""",7,7,,"=""""","=""L3501""",
Li,2,"=""224.921""","=""224.9242""","=""0.0011""","=""-0.003""","=""44446.3""","=""w*""","=""""","=""""","=""""","=""""",,"=""[561242.90]""","=""[605688.54]""","=""1s.3d""","=""3D""","=""3""","=""1s.10f""","=""3F*""","=""4""",7,9,,"=""""","=""L3501""",
Li,2,"=""224.921""","=""224.9242""","=""0.0011""","=""-0.003""","=""44446.3""","=""w*""","=""""","=""""","=""""","=""""",,"=""[561242.90]""","=""[605688.54]""","=""1s.3d""","=""3D""","=""3""","=""1s.10f""","=""3F*""","=""2""",7,5,,"=""""","=""L3501""",
Li,2,"=""224.921""","=""224.9269""","=""0.0014""","=""-0.006""","=""44446.3""","=""w*""","=""""","=""""","=""""","=""""",,"=""[561243.43]""","=""[605688.54]""","=""1s.3d""","=""3D""","=""1""","=""1s.10f""","=""3F*""","=""2""",3,5,,"=""""","=""L3501""",
Li,2,"=""228.682""","=""228.679""","=""0.008""","=""0.003""","=""43715.4""","=""*""","=""""","=""""","=""""","=""""",,"=""[559499.5]""","=""[603215.34]""","=""1s.3p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""2""",3,5,,"=""""","=""L3501""",
Li,2,"=""228.682""","=""228.682""","=""0.008""","=""0.000""","=""43715.4""","=""*""","=""""","=""""","=""""","=""""",,"=""[559499.5]""","=""[603214.95]""","=""1s.3p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""1""",3,3,,"=""""","=""L3501""",
Li,2,"=""228.682""","=""228.682""","=""0.004""","=""0.000""","=""43715.4""","=""*""","=""""","=""""","=""""","=""""",,"=""[559500.55]""","=""[603216.00]""","=""1s.3p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""3""",5,7,,"=""""","=""L3501""",
Li,2,"=""228.682""","=""228.685""","=""0.004""","=""-0.003""","=""43715.4""","=""*""","=""""","=""""","=""""","=""""",,"=""[559500.55]""","=""[603215.34]""","=""1s.3p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""2""",5,5,,"=""""","=""L3501""",
Li,2,"=""228.682""","=""228.687""","=""0.004""","=""-0.005""","=""43715.4""","=""*""","=""""","=""""","=""""","=""""",,"=""[559500.55]""","=""[603214.95]""","=""1s.3p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""1""",5,3,,"=""""","=""L3501""",
Li,2,"=""228.682""","=""228.6917""","=""0.0019""","=""-0.010""","=""43715.4""","=""*""","=""""","=""""","=""""","=""""",,"=""[559501.45]""","=""[603214.95]""","=""1s.3p""","=""3P*""","=""0""","=""1s.8d""","=""3D""","=""1""",1,3,,"=""""","=""L3501""",
Li,2,"=""230.257""","=""230.2568""","=""0.0008""","=""0.000""","=""43416.4""","=""*""","=""""","=""""","=""""","=""""",,"=""[561242.28]""","=""[604658.68]""","=""1s.3d""","=""3D""","=""2""","=""1s.9f""","=""3F*""","=""2""",5,5,,"=""""","=""L3501""",
Li,2,"=""230.257""","=""230.2568""","=""0.0008""","=""0.000""","=""43416.4""","=""*""","=""""","=""""","=""""","=""""",,"=""[561242.28]""","=""[604658.68]""","=""1s.3d""","=""3D""","=""2""","=""1s.9f""","=""3F*""","=""3""",5,7,,"=""""","=""L3501""",
Li,2,"=""230.257""","=""230.2601""","=""0.0008""","=""-0.003""","=""43416.4""","=""*""","=""""","=""""","=""""","=""""",,"=""[561242.90]""","=""[604658.68]""","=""1s.3d""","=""3D""","=""3""","=""1s.9f""","=""3F*""","=""4""",7,9,,"=""""","=""L3501""",
Li,2,"=""230.257""","=""230.2601""","=""0.0008""","=""-0.003""","=""43416.4""","=""*""","=""""","=""""","=""""","=""""",,"=""[561242.90]""","=""[604658.68]""","=""1s.3d""","=""3D""","=""3""","=""1s.9f""","=""3F*""","=""3""",7,7,,"=""""","=""L3501""",
Li,2,"=""230.257""","=""230.2601""","=""0.0008""","=""-0.003""","=""43416.4""","=""*""","=""""","=""""","=""""","=""""",,"=""[561242.90]""","=""[604658.68]""","=""1s.3d""","=""3D""","=""3""","=""1s.9f""","=""3F*""","=""2""",7,5,,"=""""","=""L3501""",
Li,2,"=""230.257""","=""230.2629""","=""0.0012""","=""-0.006""","=""43416.4""","=""*""","=""""","=""""","=""""","=""""",,"=""[561243.43]""","=""[604658.68]""","=""1s.3d""","=""3D""","=""1""","=""1s.9f""","=""3F*""","=""2""",3,5,,"=""""","=""L3501""",
Li,2,"=""230.333""","=""230.330""","=""0.008""","=""0.003""","=""43402.0""","=""*""","=""""","=""""","=""""","=""""",,"=""[559499.5]""","=""[602902.11]""","=""1s.3p""","=""3P*""","=""1""","=""1s.8s""","=""3S""","=""1""",3,3,,"=""""","=""L3501""",
Li,2,"=""230.333""","=""230.336""","=""0.004""","=""-0.003""","=""43402.0""","=""*""","=""""","=""""","=""""","=""""",,"=""[559500.55]""","=""[602902.11]""","=""1s.3p""","=""3P*""","=""2""","=""1s.8s""","=""3S""","=""1""",5,3,,"=""""","=""L3501""",
Li,2,"=""230.333""","=""230.3403""","=""0.0017""","=""-0.007""","=""43402.0""","=""*""","=""""","=""""","=""""","=""""",,"=""[559501.45]""","=""[602902.11]""","=""1s.3p""","=""3P*""","=""0""","=""1s.8s""","=""3S""","=""1""",1,3,,"=""""","=""L3501""",
Li,1,"=""230.459""","=""230.4590""","=""0.0008""","="" 0.000""","=""43378.3""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43378.31""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.32p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
Li,1,"=""230.459""","=""230.4590""","=""0.0008""","="" 0.000""","=""43378.3""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43378.31""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.32p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
Li,1,"=""230.492""","=""230.4922""","=""0.0008""","="" 0.000""","=""43372.1""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43372.06""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.31p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
Li,1,"=""230.492""","=""230.4922""","=""0.0008""","="" 0.000""","=""43372.1""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43372.06""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.31p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
Li,1,"=""230.536""","=""230.5366""","=""0.0008""","=""-0.001""","=""43363.8""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43363.71""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.30p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
Li,1,"=""230.536""","=""230.5366""","=""0.0008""","=""-0.001""","=""43363.8""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43363.71""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.30p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
Li,1,"=""230.583""","=""230.5834""","=""0.0008""","="" 0.000""","=""43355.0""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43354.91""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.29p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
Li,1,"=""230.583""","=""230.5834""","=""0.0008""","="" 0.000""","=""43355.0""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43354.91""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.29p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
Li,1,"=""230.629""","=""230.6287""","=""0.0008""","=""0.000""","=""43346.3""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43346.39""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.28p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
Li,1,"=""230.629""","=""230.6287""","=""0.0008""","=""0.000""","=""43346.3""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43346.39""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.28p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
Li,1,"=""230.682""","=""230.6819""","=""0.0008""","=""0.000""","=""43336.4""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43336.40""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.27p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
Li,1,"=""230.682""","=""230.6819""","=""0.0008""","=""0.000""","=""43336.4""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43336.40""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.27p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
Li,1,"=""230.744""","=""230.7436""","=""0.0008""","=""0.000""","=""43324.7""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43324.81""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.26p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
Li,1,"=""230.744""","=""230.7436""","=""0.0008""","=""0.000""","=""43324.7""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43324.81""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.26p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
Li,1,"=""230.897""","=""230.8970""","=""0.0008""","="" 0.000""","=""43296.0""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43296.03""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.24p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
Li,1,"=""230.897""","=""230.8970""","=""0.0008""","="" 0.000""","=""43296.0""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43296.03""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.24p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
Li,1,"=""230.988""","=""230.9881""","=""0.0008""","="" 0.000""","=""43279.0""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43278.96""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.23p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
Li,1,"=""230.988""","=""230.9881""","=""0.0008""","="" 0.000""","=""43279.0""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43278.96""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.23p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
Li,1,"=""231.094""","=""231.0939""","=""0.0008""","=""0.000""","=""43259.1""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43259.14""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.22p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
Li,1,"=""231.094""","=""231.0939""","=""0.0008""","=""0.000""","=""43259.1""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43259.14""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.22p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
Li,1,"=""231.211""","=""231.2114""","=""0.0008""","="" 0.000""","=""43237.2""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43237.16""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.21p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
Li,1,"=""231.211""","=""231.2114""","=""0.0008""","="" 0.000""","=""43237.2""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43237.16""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.21p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
Li,1,"=""231.349""","=""231.3493""","=""0.0008""","="" 0.000""","=""43211.5""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43211.39""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.20p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
Li,1,"=""231.349""","=""231.3493""","=""0.0008""","="" 0.000""","=""43211.5""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43211.39""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.20p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
Li,1,"=""231.508""","=""231.5077""","=""0.0008""","=""0.000""","=""43181.8""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43181.84""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.19p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
Li,1,"=""231.508""","=""231.5077""","=""0.0008""","=""0.000""","=""43181.8""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43181.84""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.19p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L7397""",
Li,1,"=""231.695""","=""231.6948""","=""0.0008""","=""0.000""","=""43146.9""","=""*""","=""""","=""""","=""""","=""""",,"=""0.00""","=""43146.96""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.18p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7397""",
