element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Li,2,"=""12.55""","=""12.54""","=""0.08""","=""0.01""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494262.57]""","=""1292000""","=""1s.2p""","=""3P*""","=""2""","=""2p.3p""","=""3P""","=""2""",5,5,,"=""""","=""L3160,L1992""",
Li,2,"=""12.55""","=""12.54""","=""0.08""","=""0.01""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494260.30]""","=""1292000""","=""1s.2p""","=""3P*""","=""1""","=""2p.3p""","=""3P""","=""2""",3,5,,"=""""","=""L3160,L1992""",
Li,2,"=""12.55""","=""12.54""","=""0.08""","=""0.01""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494265.70]""","=""1292000""","=""1s.2p""","=""3P*""","=""0""","=""2p.3p""","=""3P""","=""1""",1,3,,"=""""","=""L3160,L1992""",
Li,2,"=""12.55""","=""12.55""","=""0.08""","="" 0.00""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494262.57]""","=""1291000""","=""1s.2p""","=""3P*""","=""2""","=""2p.3p""","=""3D""","=""3""",5,7,,"=""""","=""L3160,L1992""",
Li,2,"=""12.55""","=""12.55""","=""0.08""","="" 0.00""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494265.70]""","=""1291000""","=""1s.2p""","=""3P*""","=""0""","=""2p.3p""","=""3D""","=""1""",1,3,,"=""""","=""L3160,L1992""",
Li,2,"=""12.55""","=""12.55""","=""0.08""","="" 0.00""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494262.57]""","=""1291000""","=""1s.2p""","=""3P*""","=""2""","=""2p.3p""","=""3D""","=""1""",5,3,,"=""""","=""L3160,L1992""",
Li,2,"=""12.55""","=""12.55""","=""0.08""","="" 0.00""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494260.30]""","=""1291000""","=""1s.2p""","=""3P*""","=""1""","=""2p.3p""","=""3D""","=""1""",3,3,,"=""""","=""L3160,L1992""",
Li,2,"=""12.55""","=""12.55""","=""0.08""","="" 0.00""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494262.57]""","=""1291000""","=""1s.2p""","=""3P*""","=""2""","=""2p.3p""","=""3D""","=""2""",5,5,,"=""""","=""L3160,L1992""",
Li,2,"=""12.55""","=""12.55""","=""0.08""","="" 0.00""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494260.30]""","=""1291000""","=""1s.2p""","=""3P*""","=""1""","=""2p.3p""","=""3D""","=""2""",3,5,,"=""""","=""L3160,L1992""",
Li,3,"=""13.50""","=""13.49957611""","=""0.00000004""","=""0.00""","=""741000""","=""""","=""5.0777e+02""","=""2.7745e-01""","=""2.4661e-01""","=""-0.25578""",AA,"=""0.0000""","=""(740764.0001941)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
Li,3,"=""13.50""","=""13.50011662""","=""0.00000004""","="" 0.00""","=""741000""","=""""","=""5.0785e+02""","=""1.3876e-01""","=""1.2334e-01""","=""-0.55671""",AA,"=""0.0000""","=""(740734.34169)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L7397""",
Li,2,"=""13.65""","=""13.65""","=""0.06""","=""0.00""","=""733000""","=""*""","=""""","=""""","=""""","=""""",,"=""[561242.28]""","=""1294000""","=""1s.3d""","=""3D""","=""2""","=""2p.3d""","=""3D*""","=""3""",5,7,,"=""""","=""L3160,L1992""",
Li,2,"=""13.65""","=""13.65""","=""0.06""","=""0.00""","=""733000""","=""*""","=""""","=""""","=""""","=""""",,"=""[561243.43]""","=""1294000""","=""1s.3d""","=""3D""","=""1""","=""2p.3d""","=""3D*""","=""1""",3,3,,"=""""","=""L3160,L1992""",
Li,2,"=""13.65""","=""13.65""","=""0.06""","=""0.00""","=""733000""","=""*""","=""""","=""""","=""""","=""""",,"=""[561242.28]""","=""1294000""","=""1s.3d""","=""3D""","=""2""","=""2p.3d""","=""3D*""","=""1""",5,3,,"=""""","=""L3160,L1992""",
Li,2,"=""13.65""","=""13.65""","=""0.06""","=""0.00""","=""733000""","=""*""","=""""","=""""","=""""","=""""",,"=""[561243.43]""","=""1294000""","=""1s.3d""","=""3D""","=""1""","=""2p.3d""","=""3D*""","=""2""",3,5,,"=""""","=""L3160,L1992""",
Li,2,"=""13.65""","=""13.65""","=""0.06""","=""0.00""","=""733000""","=""*""","=""""","=""""","=""""","=""""",,"=""[561242.90]""","=""1294000""","=""1s.3d""","=""3D""","=""3""","=""2p.3d""","=""3D*""","=""2""",7,5,,"=""""","=""L3160,L1992""",
Li,2,"=""13.65""","=""13.65""","=""0.06""","=""0.00""","=""733000""","=""*""","=""""","=""""","=""""","=""""",,"=""[561242.28]""","=""1294000""","=""1s.3d""","=""3D""","=""2""","=""2p.3d""","=""3D*""","=""2""",5,5,,"=""""","=""L3160,L1992""",
Li,2,"=""13.65""","=""13.65""","=""0.06""","=""0.00""","=""733000""","=""*""","=""""","=""""","=""""","=""""",,"=""[561242.90]""","=""1294000""","=""1s.3d""","=""3D""","=""3""","=""2p.3d""","=""3D*""","=""3""",7,7,,"=""""","=""L3160,L1992""",
Li,2,"=""13.65""","=""13.65""","=""0.09""","="" 0.00""","=""733000""","=""*""","=""""","=""""","=""""","=""""",,"=""[559500.55]""","=""1292000""","=""1s.3p""","=""3P*""","=""2""","=""2p.3p""","=""3P""","=""2""",5,5,,"=""""","=""L3160,L1992""",
Li,2,"=""13.65""","=""13.65""","=""0.09""","="" 0.00""","=""733000""","=""*""","=""""","=""""","=""""","=""""",,"=""[559499.5]""","=""1292000""","=""1s.3p""","=""3P*""","=""1""","=""2p.3p""","=""3P""","=""2""",3,5,,"=""""","=""L3160,L1992""",
Li,2,"=""13.65""","=""13.65""","=""0.09""","="" 0.00""","=""733000""","=""*""","=""""","=""""","=""""","=""""",,"=""[559501.45]""","=""1292000""","=""1s.3p""","=""3P*""","=""0""","=""2p.3p""","=""3P""","=""1""",1,3,,"=""""","=""L3160,L1992""",
Li,2,"=""13.65""","=""13.65""","=""0.09""","="" 0.00""","=""733000""","=""*""","=""""","=""""","=""""","=""""",,"=""[559500.55]""","=""1292000""","=""1s.3p""","=""3P*""","=""2""","=""2p.3p""","=""3P""","=""1""",5,3,,"=""""","=""L3160,L1992""",
Li,2,"=""13.65""","=""13.65""","=""0.09""","="" 0.00""","=""733000""","=""*""","=""""","=""""","=""""","=""""",,"=""[559499.5]""","=""1292000""","=""1s.3p""","=""3P*""","=""1""","=""2p.3p""","=""3P""","=""1""",3,3,,"=""""","=""L3160,L1992""",
Li,2,"=""13.65""","=""13.65""","=""0.09""","="" 0.00""","=""733000""","=""*""","=""""","=""""","=""""","=""""",,"=""[559499.5]""","=""1292000""","=""1s.3p""","=""3P*""","=""1""","=""2p.3p""","=""3P""","=""0""",3,1,,"=""""","=""L3160,L1992""",
Li,2,"=""14.05""","=""14.05""","=""0.04""","="" 0.00""","=""712000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494260.30]""","=""1206000""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""0""",3,1,,"=""""","=""L3160,L1992""",
Li,2,"=""14.05""","=""14.05""","=""0.04""","="" 0.00""","=""712000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494265.70]""","=""1206000""","=""1s.2p""","=""3P*""","=""0""","=""2p2""","=""3P""","=""1""",1,3,,"=""""","=""L3160,L1992""",
