element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
At,83,"=""""","=""""","=""0.0154331""","=""0.0000003""","=""""","=""647960000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""647960000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
At,83,"=""""","=""""","=""0.0154450""","=""0.0000003""","=""""","=""647459000""","=""""","=""""","=""""","=""""","=""""",,"=""[25015600]""","=""(672475000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
At,83,"=""""","=""""","=""0.0154575""","=""0.0000003""","=""""","=""646936000""","=""""","=""""","=""""","=""""","=""""",,"=""[25015600]""","=""(671952000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
At,83,"=""""","=""""","=""0.0154645""","=""0.0000003""","=""""","=""646640000""","=""""","=""""","=""""","=""""","=""""",,"=""[25015600]""","=""(671656000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
At,83,"=""""","=""""","=""0.0154666""","=""0.0000003""","=""""","=""646554000""","=""""","=""""","=""""","=""""","=""""",,"=""[25015600]""","=""(671570000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
At,83,"=""""","=""""","=""0.0154680""","=""0.0000003""","=""""","=""646494000""","=""""","=""""","=""""","=""""","=""""",,"=""[1982800]""","=""(648477000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
At,83,"=""""","=""""","=""0.0154742""","=""0.0000003""","=""""","=""646239000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""646239000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
At,83,"=""""","=""""","=""0.0154772""","=""0.0000003""","=""""","=""646110000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""646110000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""""",
At,83,"=""""","=""""","=""0.0155358""","=""0.0000003""","=""""","=""643675000""","=""""","=""""","=""""","=""""","=""""",,"=""[1982800]""","=""(645658000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
At,83,"=""""","=""""","=""0.0160395""","=""0.0000004""","=""""","=""623461000""","=""""","=""""","=""""","=""""","=""""",,"=""[25015600]""","=""(648477000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
At,83,"=""""","=""""","=""0.0161123""","=""0.0000003""","=""""","=""620642000""","=""""","=""""","=""""","=""""","=""""",,"=""[25015600]""","=""(645658000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
At,85,"=""""","=""""","=""0.072792""","=""0.000006""","=""""","=""137378000""","=""""","=""3.2943e+07""","=""5.2338e-01""","=""2.5085e-03""","=""0.01985""",AA,"=""(657845700)""","=""(795223510)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
At,85,"=""""","=""""","=""0.072987""","=""0.000007""","=""""","=""137011000""","=""""","=""9.3698e+06""","=""1.4966e-01""","=""7.1921e-04""","=""-0.52386""",AA,"=""(658224000)""","=""(795235000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
At,85,"=""""","=""""","=""0.076938""","=""0.000009""","=""""","=""129974000""","=""""","=""1.4570e+06""","=""1.2930e-02""","=""6.5501e-05""","=""-1.58737""",AA,"=""(657845700)""","=""(787820000)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
At,85,"=""""","=""""","=""0.077239""","=""0.000011""","=""""","=""129468000""","=""""","=""1.5754e+07""","=""1.4090e-01""","=""7.1657e-04""","=""-0.55006""",AA,"=""(658224000)""","=""(787692000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
