element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Hs,108,"=""""","=""0.0080728""","=""0.0000007""","=""""","=""1238730000""","=""""","=""6.6583e+08""","=""1.3010e-01""","=""6.9154e-05""","=""-0.58468""",AA,"=""0""","=""1238734000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Hs,108,"=""""","=""0.0086553""","=""0.0000008""","=""""","=""1155360000""","=""""","=""8.8088e+08""","=""9.8933e-02""","=""5.6381e-05""","=""-0.70363""",AA,"=""0""","=""1155360000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Hs,108,"=""""","=""0.12318""","=""0.00005""","=""""","=""81180000""","=""""","=""5.9700e+06""","=""2.7160e-01""","=""2.2027e-03""","=""-0.26505""",AA,"=""(1157550000)""","=""(1238734000)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Hs,108,"=""""","=""4.57""","=""0.07""","=""""","=""2190000""","=""""","=""""","=""""","=""""","=""""",,"=""(1155360000)""","=""(1157550000)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
