element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Be,3,"=""7.648""","=""""","=""7.6482""","=""0.0012""","="" 0.000""","=""1307500""","=""2*""","=""""","=""""","=""""","=""""",,"=""[1121199.30]""","=""2428700""","=""1s.3s""","=""3S""","=""1""","=""2.3.sp-""","=""3P*""","=""0""",3,1,,"=""""","=""L539""",
Be,3,"=""7.853""","=""""","=""7.8531""","=""0.0003""","="" 0.000""","=""1273400""","=""3*""","=""""","=""""","=""""","=""""",,"=""[956518.70]""","=""2229900""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""1""",3,3,,"=""""","=""L539""",
Be,3,"=""7.853""","=""""","=""7.8531""","=""0.0003""","="" 0.000""","=""1273400""","=""3*""","=""""","=""""","=""""","=""""",,"=""[956518.70]""","=""2229900""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""0""",3,1,,"=""""","=""L539""",
Be,3,"=""7.853""","=""""","=""7.8531""","=""0.0003""","="" 0.000""","=""1273400""","=""3*""","=""""","=""""","=""""","=""""",,"=""[956518.70]""","=""2229900""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""2""",3,5,,"=""""","=""L539""",
Be,3,"=""7.866""","=""""","=""7.8659""","=""0.0003""","=""0.000""","=""1271300""","=""4*""","=""""","=""""","=""""","=""""",,"=""[983371.80]""","=""2254680""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""1""",3,3,,"=""""","=""L539""",
Be,3,"=""7.866""","=""""","=""7.8659""","=""0.0003""","=""0.000""","=""1271300""","=""4*""","=""""","=""""","=""""","=""""",,"=""[983371.80]""","=""2254680""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""0""",3,1,,"=""""","=""L539""",
Be,3,"=""7.866""","=""""","=""7.8659""","=""0.0003""","=""0.000""","=""1271300""","=""4*""","=""""","=""""","=""""","=""""",,"=""[983371.80]""","=""2254680""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""2""",3,5,,"=""""","=""L539""",
Be,3,"=""7.866""","=""""","=""7.8660""","=""0.0003""","=""0.000""","=""1271300""","=""4*""","=""""","=""""","=""""","=""""",,"=""[983383.30]""","=""2254680""","=""1s.2p""","=""3P*""","=""0""","=""2p2""","=""3P""","=""1""",1,3,,"=""""","=""L539""",
Be,3,"=""7.866""","=""""","=""7.8660""","=""0.0003""","="" 0.000""","=""1271300""","=""4*""","=""""","=""""","=""""","=""""",,"=""[983386.60]""","=""2254680""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""2""",5,5,,"=""""","=""L539""",
Be,3,"=""7.866""","=""""","=""7.8660""","=""0.0003""","="" 0.000""","=""1271300""","=""4*""","=""""","=""""","=""""","=""""",,"=""[983386.60]""","=""2254680""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""1""",5,3,,"=""""","=""L539""",
Be,3,"=""7.892""","=""""","=""7.8922""","=""0.0010""","="" 0.000""","=""1267100""","=""1w""","=""""","=""""","=""""","=""""",,"=""[997465.30]""","=""2264540""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""1D""","=""2""",3,5,,"=""""","=""L539""",
Be,2,"=""8.085""","=""0.003""","=""8.085""","=""0.003""","=""0.000""","=""1236900""","=""*""","=""""","=""""","=""""","=""""",,"=""977597.9+x""","=""2214500+x""","=""1s.2p2""","=""4P""","=""5/2""","=""2p3""","=""4S*""","=""3/2""",6,4,,"=""""","=""L12158""",
