element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Bh,107,"=""""","=""0.0082769""","=""0.0000007""","=""""","=""1208180000""","=""""","=""6.4699e+08""","=""1.3290e-01""","=""7.2427e-05""","=""-0.57544""",AA,"=""0""","=""1208177000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Bh,107,"=""""","=""0.0088582""","=""0.0000008""","=""""","=""1128900000""","=""""","=""8.5001e+08""","=""9.9993e-02""","=""5.8321e-05""","=""-0.69900""",AA,"=""0""","=""1128898000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Bh,107,"=""""","=""0.12937""","=""0.00004""","=""""","=""77297000""","=""""","=""5.3051e+06""","=""2.6623e-01""","=""2.2678e-03""","=""-0.27372""",AA,"=""(1130880000)""","=""(1208177000)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Bh,107,"=""""","=""5.05""","=""0.06""","=""""","=""1982000""","=""""","=""""","=""""","=""""","=""""",,"=""(1128898000)""","=""(1130880000)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
