element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cs,2,"=""268.944""","=""0.007""","=""268.943637""","=""0.000014""","=""0.000""","=""37171.5""","=""710bl""","=""""","=""""","=""""","=""""",,"=""129420.3739""","=""166591.8501""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<3/2>).5f""","=""2[5/2]""","=""3""",7,7,,"=""""","=""L12126""",
Cs,3,"=""269.1840""","=""0.0003""","=""269.18460""","=""0.00014""","=""-0.0006""","=""37138.28""","=""3600""","=""2.13e+00""","=""2.32e-01""","=""4.10e+00""","=""-0.334""",,"=""171313.524""","=""208451.728""","=""5s2.5p4.(3P<0>).6p""","=""2[1]*""","=""1/2""","=""5s2.5p4.(3P<0>).7s""","=""2[0]""","=""1/2""",2,2,,"=""T8611""","=""L14869""",
Cs,2,"=""269.91834""","=""0.00005""","=""269.918354""","=""0.000011""","=""-0.00001""","=""37037.253""","=""30000""","=""""","=""""","=""""","=""""",,"=""129116.7070""","=""166153.9587""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""4""",7,9,,"=""""","=""L12126""",
Cs,2,"=""270.0183""","=""0.0003""","=""270.018147""","=""0.000010""","=""0.0002""","=""37023.55""","=""9""","=""""","=""""","=""""","=""""",,"=""129116.7070""","=""166140.2712""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""2""",7,5,,"=""""","=""L12126""",
Cs,3,"=""270.03153""","=""0.00005""","=""270.03151""","=""0.00004""","=""0.00002""","=""37021.730""","=""220000""","=""3.56e+00""","=""5.19e-01""","=""2.77e+01""","=""0.493""",,"=""161132.553""","=""198154.285""","=""5s2.5p4.(3P<2>).6p""","=""2[2]*""","=""5/2""","=""5s2.5p4.(3P<2>).6d""","=""2[3]""","=""7/2""",6,8,,"=""T8611""","=""L14869""",
Cs,3,"=""270.07231""","=""0.00013""","=""270.07232""","=""0.00009""","=""-0.00001""","=""37016.140""","=""96000""","=""1.82e+00""","=""2.99e-01""","=""1.06e+01""","=""0.077""",,"=""160991.868""","=""198008.006""","=""5s2.5p4.(1D<2>).5d""","=""2[1]""","=""3/2""","=""5s2.5p4.(3P<1>).4f""","=""2[3]*""","=""5/2""",4,6,,"=""T8611""","=""L14869""",
Cs,2,"=""270.11564""","=""0.00007""","=""270.115554""","=""0.000010""","=""0.00009""","=""37010.202""","=""3500""","=""""","=""""","=""""","=""""",,"=""129116.7070""","=""166126.9208""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""3""",7,7,,"=""""","=""L12126""",
Cs,3,"=""270.11982""","=""0.00013""","=""270.11962""","=""0.00013""","=""0.00020""","=""37009.630""","=""430000""","=""2.52e+00""","=""2.07e-01""","=""1.47e+01""","=""0.219""",,"=""144535.128""","=""181544.785""","=""5s2.5p4.(1D<2>).5d""","=""2[4]""","=""7/2""","=""5s2.5p4.(1D<2>).6p""","=""2[3]*""","=""5/2""",8,6,,"=""T8611""","=""L14869""",
Cs,2,"=""270.3962""","=""0.0003""","=""270.396275""","=""0.000009""","=""-0.0001""","=""36971.80""","=""290""","=""""","=""""","=""""","=""""",,"=""129998.9106""","=""166970.7032""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",3,5,,"=""""","=""L12126""",
Cs,3,"=""270.53363""","=""0.00014""","=""270.53361""","=""0.00008""","=""0.00002""","=""36953.023""","=""15000""","=""8.43e-02""","=""9.26e-03""","=""4.95e-01""","=""-1.255""",,"=""144591.760""","=""181544.785""","=""5s2.5p4.(3P<0>).5d""","=""2[2]""","=""5/2""","=""5s2.5p4.(1D<2>).6p""","=""2[3]*""","=""5/2""",6,6,,"=""T8611""","=""L14869""",
Cs,3,"=""270.68067""","=""0.00009""","=""270.68071""","=""0.00006""","=""-0.00004""","=""36932.950""","=""140000""","=""6.10e+00""","=""6.70e-01""","=""3.59e+01""","=""0.605""",,"=""161132.553""","=""198065.497""","=""5s2.5p4.(3P<2>).6p""","=""2[2]*""","=""5/2""","=""5s2.5p4.(3P<2>).6d""","=""2[2]""","=""5/2""",6,6,,"=""T8611""","=""L14869""",
Cs,3,"=""271.0614""","=""0.0002""","=""271.06174""","=""0.00007""","=""-0.00034""","=""36881.08""","=""3600""","=""5.27e-01""","=""8.71e-02""","=""3.11e+00""","=""-0.458""",,"=""175738.571""","=""212619.602""","=""5s2.5p4.(3P<1>).6p""","=""2[2]*""","=""3/2""","=""5s2.5p4.(3P<1>).6d""","=""2[2]""","=""5/2""",4,6,,"=""T8611""","=""L14869""",
Cs,3,"=""271.1712""","=""0.0002""","=""271.17159""","=""0.00010""","=""-0.00039""","=""36866.14""","=""3000""","=""6.03e-01""","=""9.98e-02""","=""3.56e+00""","=""-0.399""",,"=""183469.263""","=""220335.354""","=""5s2.5p4.(1D<2>).6p""","=""2[1]*""","=""3/2""","=""5s2.5p4.(1D<2>).6d""","=""2[2]""","=""5/2""",4,6,,"=""T8611""","=""L14869""",
Cs,3,"=""271.4153""","=""0.0003""","=""271.41519""","=""0.00005""","=""0.0001""","=""36832.99""","=""6000""","=""5.50e-02""","=""6.08e-03""","=""2.17e-01""","=""-1.614""",,"=""136693.500""","=""173526.505""","=""5s2.5p4.(3P<1>).5d""","=""2[1]""","=""3/2""","=""5s2.5p4.(3P<0>).6p""","=""2[1]*""","=""3/2""",4,4,,"=""T8611""","=""L14869""",
Cs,2,"=""271.589""","=""0.007""","=""271.589302""","=""0.000011""","="" 0.000""","=""36809.4""","=""80bl""","=""""","=""""","=""""","=""""",,"=""141564.8730""","=""178374.2662""","=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",3,3,,"=""""","=""L12126""",
Cs,2,"=""271.59589""","=""0.00011""","=""271.595966""","=""0.000013""","=""-0.00008""","=""36808.500""","=""1700""","=""""","=""""","=""""","=""""",,"=""143403.4304""","=""180211.9205""","=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<1/2>).7d""","=""2[5/2]*""","=""3""",5,7,,"=""""","=""L12126""",
