element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Zn,28,"=""""","=""""","=""0.1385934""","=""0.0000006""","=""""","=""72153500""","=""""","=""""","=""""","=""""","=""""",,"=""[462824]""","=""(72616310)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2D""","=""3/2""",2,4,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1386149""","=""0.0000006""","=""""","=""72142300""","=""""","=""""","=""""","=""""","=""""",,"=""[462824]""","=""(72605120)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""1/2""",2,2,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1387847""","=""0.0000007""","=""""","=""72054100""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""72054070""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1388142""","=""0.0000006""","=""""","=""72038800""","=""""","=""""","=""""","=""""","=""""",,"=""[701942]""","=""(72740700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""5/2""",4,6,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1389004""","=""0.0000006""","=""""","=""71994000""","=""""","=""""","=""""","=""""","=""""",,"=""[462824]""","=""(72456860)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""5/2""",2,6,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1390334""","=""0.0000006""","=""""","=""71925200""","=""""","=""""","=""""","=""""","=""""",,"=""[462824]""","=""(72388000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""3/2""",2,4,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1390543""","=""0.0000006""","=""""","=""71914400""","=""""","=""""","=""""","=""""","=""""",,"=""[701942]""","=""(72616310)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""3/2""",4,4,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1390759""","=""0.0000006""","=""""","=""71903200""","=""""","=""""","=""""","=""""","=""""",,"=""[701942]""","=""(72605120)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""1/2""",4,2,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1390837""","=""0.0000007""","=""""","=""71899200""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""71899160""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""5/2""",2,6,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1393097""","=""0.0000006""","=""""","=""71782500""","=""""","=""""","=""""","=""""","=""""",,"=""[462824]""","=""(72245340)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""1/2""",2,2,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1393633""","=""0.0000006""","=""""","=""71754900""","=""""","=""""","=""""","=""""","=""""",,"=""[701942]""","=""(72456860)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""5/2""",4,6,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1394352""","=""0.0000007""","=""""","=""71717900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""71717910""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""3/2""",2,4,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1394971""","=""0.0000006""","=""""","=""71686100""","=""""","=""""","=""""","=""""","=""""",,"=""[701942]""","=""(72388000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""3/2""",4,4,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1395283""","=""0.0000007""","=""""","=""71670100""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""71670060""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""1/2""",2,2,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1397753""","=""0.0000006""","=""""","=""71543400""","=""""","=""""","=""""","=""""","=""""",,"=""[701942]""","=""(72245340)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""1/2""",4,2,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1406614""","=""0.0000008""","=""""","=""71092700""","=""""","=""""","=""""","=""""","=""""",,"=""[462824]""","=""(71555520)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1411361""","=""0.0000008""","=""""","=""70853600""","=""""","=""""","=""""","=""""","=""""",,"=""[701942]""","=""(71555520)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""2S""","=""1/2""",4,2,,"=""""","=""""",
Zn,30,"=""""","=""""","=""0.44827793""","=""0.00000013""","=""""","=""22307590""","=""""","=""2.0414e+03""","=""6.1502e-04""","=""1.8153e-05""","=""-2.91008""",AA,"=""(74853303.4)""","=""(97160893)""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.44843281""","=""0.00000012""","=""""","=""22299885""","=""""","=""2.3629e+04""","=""7.1235e-03""","=""2.1033e-04""","=""-1.84628""",AA,"=""(74860727)""","=""(97160612)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.45450454""","=""0.00000013""","=""""","=""22001980""","=""""","=""4.4568e+03""","=""6.9013e-04""","=""4.1305e-05""","=""-2.55901""",AA,"=""(75158912.5)""","=""(97160893)""","=""2p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.47378973""","=""0.00000011""","=""""","=""21106409""","=""""","=""6.6043e+04""","=""4.4451e-02""","=""1.3867e-03""","=""-1.05109""",AA,"=""(74853303.4)""","=""(95959712.7)""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.47395562""","=""0.00000013""","=""""","=""21099022""","=""""","=""4.0114e+04""","=""2.7018e-02""","=""8.4314e-04""","=""-1.26731""",AA,"=""(74860727)""","=""(95959749)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.47421691""","=""0.00000017""","=""""","=""21087397""","=""""","=""3.5831e+03""","=""1.2080e-03""","=""3.7719e-05""","=""-2.61690""",AA,"=""(74853303.4)""","=""(95940700)""","=""2p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.47439480""","=""0.00000016""","=""""","=""21079489""","=""""","=""4.1004e+04""","=""1.3835e-02""","=""4.3213e-04""","=""-1.55800""",AA,"=""(74860727)""","=""(95940216)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.48060320""","=""0.00000011""","=""""","=""20807186""","=""""","=""7.6425e+04""","=""3.9697e-02""","=""2.5124e-03""","=""-0.79918""",AA,"=""(75158912.5)""","=""(95966098.3)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.48075074""","=""0.00000011""","=""""","=""20800800""","=""""","=""1.2574e+04""","=""4.3570e-03""","=""2.7583e-04""","=""-1.75875""",AA,"=""(75158912.5)""","=""(95959712.7)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.48119056""","=""0.00000018""","=""""","=""20781788""","=""""","=""7.8281e+03""","=""1.3587e-03""","=""8.6094e-05""","=""-2.26482""",AA,"=""(75158912.5)""","=""(95940700)""","=""2p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.52982053""","=""0.00000014""","=""""","=""18874316""","=""""","=""1.4397e+05""","=""1.2117e-01""","=""4.2271e-03""","=""-0.61557""",AA,"=""(74853303.4)""","=""(93727619.1)""","=""2p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.53002704""","=""0.00000022""","=""""","=""18866962""","=""""","=""7.8124e+04""","=""6.5806e-02""","=""2.2965e-03""","=""-0.88070""",AA,"=""(74860727)""","=""(93727689)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.5308661""","=""0.0000003""","=""""","=""18837141""","=""""","=""7.1784e+03""","=""3.0329e-03""","=""1.0601e-04""","=""-2.21712""",AA,"=""(74853303.4)""","=""(93690444)""","=""2p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.5311020""","=""0.0000003""","=""""","=""18828775""","=""""","=""8.0401e+04""","=""3.4000e-02""","=""1.1889e-03""","=""-1.16749""",AA,"=""(74860727)""","=""(93689502)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
