element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cu,2,"=""555.55122""","=""0.00022""","=""555.55123""","=""0.00007""","=""-0.00001""","=""17995.143""","=""5500""","=""""","=""""","=""""","=""""",,"=""119039.6355""","=""137034.778""","=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""2""","=""3d9.(2D<5/2>).5d""","=""2[7/2]""","=""3""",5,7,,"=""""","=""L869c171""",
Cu,2,"=""555.8314""","=""0.0003""","=""555.83108""","=""0.00009""","=""0.0003""","=""17986.072""","=""110""","=""""","=""""","=""""","=""""",,"=""117747.3504""","=""135733.433""","=""3d9.(2D<3/2>).4d""","=""2[7/2]""","=""3""","=""3d8.(3F).4s.4p.(1P*)""","=""3D*""","=""3""",7,7,,"=""""","=""L869c171""",
Cu,2,"=""555.9417""","=""0.0004""","=""555.94167""","=""0.00005""","=""0.0000""","=""17982.504""","=""110""","=""""","=""""","=""""","=""""",,"=""117928.2197""","=""135910.7245""","=""3d9.(2D<3/2>).4d""","=""2[3/2]""","=""1""","=""3d9.(2D<5/2>).4f""","=""2[3/2]*""","=""2""",3,5,,"=""""","=""L869c171""",
Cu,2,"=""556.05761""","=""0.00024""","=""556.05739""","=""0.00009""","=""0.00022""","=""17978.755""","=""610""","=""""","=""""","=""""","=""""",,"=""120919.5715""","=""138898.334""","=""3d9.(2D<5/2>).5p""","=""2[3/2]*""","=""1""","=""3d9.(2D<3/2>).5d""","=""2[3/2]""","=""1""",3,3,,"=""""","=""L869c171""",
Cu,2,"=""556.2074""","=""0.0003""","=""556.20730""","=""0.00009""","=""0.0001""","=""17973.913""","=""110""","=""""","=""""","=""""","=""""",,"=""117928.2197""","=""135902.1365""","=""3d9.(2D<3/2>).4d""","=""2[3/2]""","=""1""","=""3d9.(2D<5/2>).4f""","=""2[1/2]*""","=""0""",3,1,,"=""""","=""L869c171""",
Cu,2,"=""556.26460""","=""0.00023""","=""556.26478""","=""0.00009""","=""-0.00018""","=""17972.065""","=""770""","=""""","=""""","=""""","=""""",,"=""116387.7873""","=""134359.847""","=""3d9.(2D<5/2>).4d""","=""2[5/2]""","=""2""","=""3d8.(3P).4s.4p.(3P*)""","=""3D*""","=""1""",5,3,,"=""""","=""L869c171""",
Cu,2,"=""556.7002""","=""0.0003""","=""556.70018""","=""0.00009""","=""0.0000""","=""17958.004""","=""210""","=""""","=""""","=""""","=""""",,"=""118483.8135""","=""136441.817""","=""3d9.(2D<3/2>).4d""","=""2[5/2]""","=""3""","=""3d8.(3F).4s.4p.(1P*)""","=""3F*""","=""3""",7,7,,"=""""","=""L869c171""",
Cu,2,"=""556.9670""","=""0.0003""","=""556.96723""","=""0.00016""","=""-0.0002""","=""17949.401""","=""210""","=""""","=""""","=""""","=""""",,"=""136725.85349""","=""154675.247""","=""3d9.(2D<5/2>).5d""","=""2[9/2]""","=""5""","=""3d9.(2D<5/2>).7f""","=""2[9/2]*""","=""5""",11,11,,"=""""","=""L869c171""",
Cu,2,"=""557.16406""","=""0.00024""","=""557.16415""","=""0.00007""","=""-0.00009""","=""17943.052""","=""210""","=""""","=""""","=""""","=""""",,"=""120876.0141""","=""138819.0637""","=""3d9.(2D<5/2>).5p""","=""2[5/2]*""","=""2""","=""3d9.(2D<3/2>).5d""","=""2[7/2]""","=""3""",5,7,,"=""""","=""L869c171""",
Cu,3,"=""557.394""","=""""","=""""","=""""","=""""","=""17935.7""","=""50""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2987""",
Cu,2,"=""557.84356""","=""0.00023""","=""557.84337""","=""0.00016""","=""0.00019""","=""17921.196""","=""520""","=""1.0e-01""","=""5.4e-02""","=""1.1e+01""","=""-0.23""",D+,"=""136725.85349""","=""154647.056""","=""3d9.(2D<5/2>).5d""","=""2[9/2]""","=""5""","=""3d9.(2D<5/2>).7f""","=""2[11/2]*""","=""6""",11,13,,"=""T9697""","=""L869c171""",
Cu,2,"=""557.9431""","=""0.0004""","=""557.94269""","=""0.00019""","=""0.0004""","=""17917.999""","=""210""","=""""","=""""","=""""","=""""",,"=""136754.1104""","=""154672.123""","=""3d9.(2D<5/2>).5d""","=""2[3/2]""","=""2""","=""3d9.(2D<5/2>).7f""","=""2[5/2]*""","=""3""",5,7,,"=""""","=""L869c171""",
Cu,2,"=""558.19475""","=""0.00024""","=""558.19507""","=""0.00009""","=""-0.00032""","=""17909.921""","=""310""","=""""","=""""","=""""","=""""",,"=""118531.9058""","=""136441.817""","=""3d9.(2D<3/2>).4d""","=""2[5/2]""","=""2""","=""3d8.(3F).4s.4p.(1P*)""","=""3F*""","=""3""",5,7,,"=""""","=""L869c171""",
Cu,2,"=""558.2173""","=""0.0004""","=""558.21725""","=""0.00019""","=""0.0001""","=""17909.196""","=""100""","=""""","=""""","=""""","=""""",,"=""136765.3514""","=""154674.551""","=""3d9.(2D<5/2>).5d""","=""2[9/2]""","=""4""","=""3d9.(2D<5/2>).7f""","=""2[9/2]*""","=""4""",9,9,,"=""""","=""L869c171""",
Cu,2,"=""558.3864""","=""0.0003""","=""558.38665""","=""0.00012""","=""-0.0002""","=""17903.773""","=""210""","=""""","=""""","=""""","=""""",,"=""117231.4014""","=""135135.168""","=""3d9.(2D<3/2>).4d""","=""2[1/2]""","=""1""","=""3d8.(3P).4s.4p.(3P*)""","=""3P*""","=""1""",3,3,,"=""""","=""L869c171""",
Cu,2,"=""558.4346""","=""0.0003""","=""558.43413""","=""0.00022""","=""0.0005""","=""17902.230""","=""480""","=""9.e-02""","=""5.4e-02""","=""7.0e+00""","=""-0.42""",D+,"=""138819.0637""","=""156721.308""","=""3d9.(2D<3/2>).5d""","=""2[7/2]""","=""3""","=""3d9.(2D<3/2>).7f""","=""2[9/2]*""","=""4""",7,9,,"=""T9697""","=""L869c171""",
Cu,2,"=""559.1382""","=""0.0003""","=""559.13777""","=""0.00006""","=""0.0004""","=""17879.700""","=""210""","=""""","=""""","=""""","=""""",,"=""119039.6355""","=""136919.3511""","=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""2""","=""3d9.(2D<5/2>).5d""","=""2[5/2]""","=""3""",5,7,,"=""""","=""L869c171""",
Cu,2,"=""559.25298""","=""0.00024""","=""559.25272""","=""0.00019""","=""0.00026""","=""17876.032""","=""510""","=""9.e-02""","=""5.3e-02""","=""9.e+00""","=""-0.32""",D+,"=""136765.3514""","=""154641.392""","=""3d9.(2D<5/2>).5d""","=""2[9/2]""","=""4""","=""3d9.(2D<5/2>).7f""","=""2[11/2]*""","=""5""",9,11,,"=""T9697""","=""L869c171""",
Cu,2,"=""559.37697""","=""0.00013""","=""559.37708""","=""0.00004""","=""-0.00011""","=""17872.070""","=""5400""","=""""","=""""","=""""","=""""",,"=""118163.2663""","=""136035.3328""","=""3d9.(2D<3/2>).4d""","=""2[3/2]""","=""2""","=""3d9.(2D<5/2>).4f""","=""2[5/2]*""","=""3""",5,7,,"=""""","=""L19804c168""",
