element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ar,1,"=""""","=""""","=""600.5725""","=""""","=""""","=""16646.170""","=""""","=""1.4e-03""","=""4.5e-04""","=""4.5e-02""","=""-2.64""",D+,"=""107289.7001""","=""123935.870""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",5,3,,"=""T1218n""","=""""",
Ar,1,"=""""","=""""","=""601.36772""","=""""","=""""","=""16624.1568""","=""""","=""1.4e-03""","=""5.4e-04""","=""7.5e-02""","=""-2.42""",D+,"=""105462.7596""","=""122086.9164""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",7,5,,"=""T1218n""","=""""",
Ar,2,"=""601.9493""","=""0.0008""","=""601.94965""","=""0.00005""","=""-0.0004""","=""16608.10""","=""4""","=""""","=""""","=""""","=""""",,"=""172829.6539""","=""189437.7396""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4P*""","=""1/2""",4,2,,"=""""","=""L14821""",
Ar,1,"=""602.5150""","=""""","=""602.5150""","=""""","=""0.0000""","=""16592.50""","=""5""","=""9.0e-03""","=""2.9e-03""","=""2.9e-01""","=""-1.83""",D+,"=""107289.7001""","=""123882.203""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",5,3,,"=""T1218n""","=""L2634""",
Ar,2,"=""602.72513""","=""0.00007""","=""602.72517""","=""0.00003""","=""-0.00004""","=""16586.7176""","=""7""","=""""","=""""","=""""","=""""",,"=""173347.9158""","=""189934.6322""","=""3s2.3p4.(1D).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""2P""","=""1/2""",4,2,,"=""""","=""L2634""",
Ar,2,"=""602.8220""","=""0.0008""","=""602.823273""","=""0.000015""","=""-0.0013""","=""16584.05""","=""1""","=""""","=""""","=""""","=""""",,"=""190511.2674""","=""207095.2846""","=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""5/2""",6,6,,"=""""","=""L14821""",
Ar,8,"=""602.98""","=""0.08""","=""602.9""","=""0.4""","=""0.1""","=""16579.7""","=""""","=""""","=""""","=""""","=""""",,"=""1070277.""","=""1086860.""","=""2p6.9f""","=""2F*""","=""7/2""","=""2p6.10g""","=""2G""","=""9/2""",8,10,,"=""""","=""L16099""",
Ar,2,"=""603.0844""","=""0.0008""","=""603.08278""","=""0.00004""","=""0.0016""","=""16576.84""","=""1l""","=""""","=""""","=""""","=""""",,"=""191169.5946""","=""207746.4757""","=""3s2.3p4.(3P).5p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).6d""","=""4D""","=""5/2""",4,6,,"=""""","=""L14821""",
Ar,1,"=""603.2127""","=""""","=""603.21270""","=""""","="" 0.0000""","=""16573.31""","=""70""","=""2.46e-02""","=""1.73e-02""","=""2.40e+00""","=""-0.918""",C,"=""105462.7596""","=""122036.0704""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""",7,9,,"=""T1218n,T1164n""","=""L2634""",
Ar,1,"=""604.3223""","=""""","=""604.32232""","=""""","="" 0.0000""","=""16542.88""","=""35""","=""1.47e-02""","=""1.13e-02""","=""1.12e+00""","=""-1.249""",C,"=""105617.2700""","=""122160.1502""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",5,7,,"=""T1218n""","=""L2634""",
Ar,2,"=""604.4468""","=""0.0008""","=""604.44783""","=""0.00009""","=""-0.0010""","=""16539.47""","=""7""","=""""","=""""","=""""","=""""",,"=""192712.058""","=""209251.5031""","=""3s2.3p4.(3P).4d""","=""2D""","=""3/2""","=""3s2.3p4.(1D<2>).4f""","=""2[3]*""","=""5/2""",4,6,,"=""""","=""L14821""",
Ar,2,"=""604.68977""","=""0.00007""","=""604.68967""","=""0.00005""","=""0.00010""","=""16532.8277""","=""10""","=""""","=""""","=""""","=""""",,"=""174409.8916""","=""190942.7220""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2S*""","=""1/2""",4,2,,"=""""","=""L2634""",
Ar,2,"=""604.90750""","=""0.00007""","=""604.90749""","=""0.00003""","=""0.00001""","=""16526.8770""","=""7""","=""""","=""""","=""""","=""""",,"=""179592.2248""","=""196119.1021""","=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[4]*""","=""7/2""",6,8,,"=""""","=""L2634""",
