element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ge,30,"=""""","=""""","=""0.1212685""","=""0.0000005""","=""""","=""82461700""","=""""","=""""","=""""","=""""","=""""",,"=""[499295]""","=""(82960970)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2D""","=""3/2""",2,4,,"=""""","=""""",
Ge,30,"=""""","=""""","=""0.1213015""","=""0.0000005""","=""""","=""82439200""","=""""","=""""","=""""","=""""","=""""",,"=""[499295]""","=""(82938530)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""1/2""",2,2,,"=""""","=""""",
Ge,30,"=""""","=""""","=""0.1214600""","=""0.0000005""","=""""","=""82331600""","=""""","=""""","=""""","=""""","=""""",,"=""[815035]""","=""(83146660)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""5/2""",4,6,,"=""""","=""""",
Ge,30,"=""""","=""""","=""0.1215075""","=""0.0000006""","=""""","=""82299400""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""82299420""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""""",
Ge,30,"=""""","=""""","=""0.1215121""","=""0.0000005""","=""""","=""82296300""","=""""","=""""","=""""","=""""","=""""",,"=""[499295]""","=""(82795600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""5/2""",2,6,,"=""""","=""""",
Ge,30,"=""""","=""""","=""0.1216274""","=""0.0000005""","=""""","=""82218300""","=""""","=""""","=""""","=""""","=""""",,"=""[499295]""","=""(82717620)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""3/2""",2,4,,"=""""","=""""",
Ge,30,"=""""","=""""","=""0.1216719""","=""0.0000006""","=""""","=""82188200""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""82188220""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""5/2""",2,6,,"=""""","=""""",
Ge,30,"=""""","=""""","=""0.1217346""","=""0.0000005""","=""""","=""82145900""","=""""","=""""","=""""","=""""","=""""",,"=""[815035]""","=""(82960970)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""3/2""",4,4,,"=""""","=""""",
Ge,30,"=""""","=""""","=""0.1217678""","=""0.0000005""","=""""","=""82123500""","=""""","=""""","=""""","=""""","=""""",,"=""[815035]""","=""(82938530)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""1/2""",4,2,,"=""""","=""""",
Ge,30,"=""""","=""""","=""0.1219260""","=""0.0000005""","=""""","=""82017000""","=""""","=""""","=""""","=""""","=""""",,"=""[499295]""","=""(82516280)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""1/2""",2,2,,"=""""","=""""",
Ge,30,"=""""","=""""","=""0.1219801""","=""0.0000005""","=""""","=""81980600""","=""""","=""""","=""""","=""""","=""""",,"=""[815035]""","=""(82795600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""5/2""",4,6,,"=""""","=""""",
