element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ti,3,"=""""","=""""","=""703.40""","=""""","=""""","=""14212.7""","=""""","=""4.3e-11""","=""4.1e-11""","=""5.0e-04""","=""-9.54""",E,"=""184.9""","=""14397.6""","=""3p6.3d2""","=""3F""","=""3""","=""3p6.3d2""","=""1G""","=""4""",7,9,M1,"=""T1610""","=""""",
Ti,1,"=""703.5802""","=""0.0006""","=""703.58042""","=""0.00020""","=""-0.0002""","=""14209.102""","=""23""","=""""","=""""","=""""","=""""",,"=""25317.814""","=""39526.912""","=""3d3.(4F).4p""","=""y 3D*""","=""1""","=""3d3.(4F).5s""","=""f 3F""","=""2""",3,5,,"=""""","=""L10989""",
Ti,1,"=""703.8812""","=""0.0006""","=""703.88122""","=""0.00025""","="" 0.0000""","=""14203.027""","=""100""","=""""","=""""","=""""","=""""",,"=""18911.394""","=""33114.420""","=""3d3.(4P).4s""","=""c 3P""","=""2""","=""3d3.(4P).4p""","=""x 3P*""","=""2""",5,5,,"=""""","=""L10989""",
Ti,1,"=""703.9264""","=""0.0006""","=""703.92647""","=""0.00020""","=""-0.0001""","=""14202.115""","=""25""","=""""","=""""","=""""","=""""",,"=""25438.908""","=""39641.021""","=""3d3.(4F).4p""","=""y 3D*""","=""2""","=""3d3.(4F).5s""","=""f 3F""","=""3""",5,7,,"=""""","=""L10989""",
Ti,1,"=""705.0686""","=""0.0006""","=""705.06881""","=""0.00025""","=""-0.0002""","=""14179.107""","=""32""","=""""","=""""","=""""","=""""",,"=""18911.394""","=""33090.497""","=""3d3.(4P).4s""","=""c 3P""","=""2""","=""3d3.(4P).4p""","=""x 3P*""","=""1""",5,3,,"=""""","=""L10989""",
Ti,2,"=""705.0977""","=""0.0003""","=""705.09769""","=""0.00015""","=""0.0000""","=""14178.523""","=""18""","=""""","=""""","=""""","=""""",,"=""67822.5867""","=""82001.109""","=""3d2.(3F).4d""","=""e 2G""","=""9/2""","=""3d2.(3F).4f""","=""2I*""","=""11/2""",10,12,,"=""""","=""u37""",
Ti,1,"=""706.1299""","=""0.0006""","=""706.13052""","=""0.00020""","=""-0.0006""","=""14157.797""","=""3""","=""""","=""""","=""""","=""""",,"=""11639.8109""","=""25797.595""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""3""",7,7,,"=""""","=""L10989""",
Ti,1,"=""706.5210""","=""0.0006""","=""706.52102""","=""0.00025""","="" 0.0000""","=""14149.959""","=""40""","=""""","=""""","=""""","=""""",,"=""11776.812""","=""25926.771""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""4""",9,9,,"=""""","=""L10989""",
Ti,1,"=""706.9073""","=""0.0006""","=""706.90755""","=""0.00020""","=""-0.0003""","=""14142.227""","=""48""","=""""","=""""","=""""","=""""",,"=""25643.701""","=""39785.923""","=""3d3.(4F).4p""","=""y 3D*""","=""3""","=""3d3.(4F).5s""","=""f 3F""","=""4""",7,9,,"=""""","=""L10989""",
Ti,3,"=""707.193""","=""""","=""707.196+""","=""""","=""-0.003""","=""14136.51""","=""10""","=""2.2e-01""","=""1.7e-01""","=""2.7e+01""","=""0.06""",D,"=""167724.09""","=""181860.55""","=""3p6.3d.5d""","=""1F""","=""3""","=""3p6.3d.5f""","=""1F*""","=""3""",7,7,,"=""T1216""","=""L3593""",
