element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ds,110,"=""""","=""0.0076794""","=""0.0000008""","=""""","=""1302190000""","=""""","=""7.0360e+08""","=""1.2441e-01""","=""6.2906e-05""","=""-0.60411""",AA,"=""0""","=""1302193000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ds,110,"=""""","=""0.0082645""","=""0.0000010""","=""""","=""1209990000""","=""""","=""9.4452e+08""","=""9.6718e-02""","=""5.2630e-05""","=""-0.71346""",AA,"=""0""","=""1209990000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ds,110,"=""""","=""0.11164""","=""0.00004""","=""""","=""89570000""","=""""","=""7.5595e+06""","=""2.8251e-01""","=""2.0766e-03""","=""-0.24794""",AA,"=""(1212620000)""","=""(1302193000)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ds,110,"=""""","=""3.80""","=""0.05""","=""""","=""2630000""","=""""","=""""","=""""","=""""","=""""",,"=""(1209990000)""","=""(1212620000)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
