element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cr,1,"=""2021.5689""","=""0.0004""","=""2021.56836""","=""0.00020""","=""0.0005""","=""4946.6531""","=""280""","=""""","=""""","=""""","=""""",,"=""21840.8096""","=""26787.4640""","=""3d5.(4P).4s""","=""a 5P""","=""3""","=""3d5.(6S).4p""","=""z 5P*""","=""3""",7,7,,"=""""","=""L14866""",
Cr,1,"=""2022.2566""","=""0.0008""","=""2022.25606""","=""0.00020""","=""0.0005""","=""4944.971""","=""23""","=""""","=""""","=""""","=""""",,"=""21856.9287""","=""26801.9009""","=""3d5.(4P).4s""","=""a 5P""","=""1""","=""3d5.(6S).4p""","=""z 5P*""","=""1""",3,3,,"=""""","=""L14866""",
Cr,1,"=""2024.4440""","=""0.0004""","=""2024.44350""","=""0.00020""","=""0.0005""","=""4939.6279""","=""140""","=""""","=""""","=""""","=""""",,"=""21847.8349""","=""26787.4640""","=""3d5.(4P).4s""","=""a 5P""","=""2""","=""3d5.(6S).4p""","=""z 5P*""","=""3""",5,7,,"=""""","=""L14866""",
Cr,1,"=""2024.5624""","=""0.0004""","=""2024.56182""","=""0.00020""","=""0.0006""","=""4939.3390""","=""110""","=""""","=""""","=""""","=""""",,"=""21856.9287""","=""26796.2691""","=""3d5.(4P).4s""","=""a 5P""","=""1""","=""3d5.(6S).4p""","=""z 5P*""","=""2""",3,5,,"=""""","=""L14866""",
Cr,1,"=""2030.6799""","=""0.0008""","=""2030.6798""","=""0.0005""","=""0.0001""","=""4924.4590""","=""73""","=""""","=""""","=""""","=""""",,"=""41043.3464""","=""45967.8057""","=""3d4.(5D).4s.4p.(1P*)""","=""x 5P*""","=""3""","=""3d5.(6S).6s""","=""f 5S""","=""2""",7,5,,"=""""","=""L14866""",
Cr,1,"=""2035.504""","=""0.004""","=""2035.5045""","=""0.0017""","="" 0.000""","=""4912.788""","=""1""","=""""","=""""","=""""","=""""",,"=""57990.296""","=""62903.083""","=""""","=""e 3G""","=""5""","=""3d4.4s.4p""","=""r 3H*""","=""6""",11,13,,"=""""","=""L14866""",
Cr,1,"=""2038.680""","=""0.002""","=""2038.6798""","=""0.0003""","=""0.0002""","=""4905.135""","=""11""","=""""","=""""","=""""","=""""",,"=""28636.9634""","=""33542.0985""","=""3d5.(4D).4s""","=""a 3D""","=""3""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""2""",7,5,,"=""""","=""L14866""",
Cr,1,"=""2048.515""","=""0.005""","=""2048.5138""","=""0.0021""","=""0.001""","=""4881.585""","=""1""","=""""","=""""","=""""","=""""",,"=""41086.218""","=""45967.8057""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""3""","=""3d5.(6S).6s""","=""f 5S""","=""2""",7,5,,"=""""","=""L14866""",
Cr,1,"=""2053.588""","=""0.004""","=""2053.5887""","=""0.0005""","=""-0.001""","=""4869.526""","=""2""","=""""","=""""","=""""","=""""",,"=""31028.2590""","=""35897.7833""","=""3d5.(2D3).4s""","=""b 3D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""",5,5,,"=""""","=""L14866""",
Cr,1,"=""2057.659""","=""0.003""","=""2057.6583""","=""0.0003""","=""0.001""","=""4859.892""","=""6""","=""""","=""""","=""""","=""""",,"=""28682.2050""","=""33542.0985""","=""3d5.(4D).4s""","=""a 3D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""2""",5,5,,"=""""","=""L14866""",
Cr,1,"=""2060.428""","=""0.004""","=""2060.4275""","=""0.0005""","=""0.000""","=""4853.361""","=""6*""","=""""","=""""","=""""","=""""",,"=""30787.2817""","=""35640.6434""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d6""","=""c 5D""","=""0""",3,1,,"=""""","=""L14866""",
Cr,1,"=""2060.428""","=""0.004""","=""2060.428""","=""0.004""","="" 0.000""","=""4853.361""","=""6*""","=""""","=""""","=""""","=""""",,"=""57335.373""","=""62188.733""","=""3d4.(3D).4s.4p.(3P*)""","=""t 3F*""","=""4""","=""3d4.4p2""","=""f 7F""","=""4""",9,9,,"=""""","=""L14866""",
Cr,1,"=""2062.267""","=""0.005""","=""2062.2662""","=""0.0005""","=""0.001""","=""4849.033""","=""1""","=""""","=""""","=""""","=""""",,"=""31048.7488""","=""35897.7833""","=""3d5.(2D3).4s""","=""b 3D""","=""1""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""",3,5,,"=""""","=""L14866""",
Cr,1,"=""2067.947""","=""0.005""","=""2067.9469""","=""0.0007""","=""0.000""","=""4835.714""","=""1""","=""""","=""""","=""""","=""""",,"=""20523.8999""","=""25359.6141""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""4""",11,9,,"=""""","=""L14866""",
Cr,1,"=""2069.881""","=""0.003""","=""2069.8796""","=""0.0004""","=""0.001""","=""4831.196""","=""6""","=""""","=""""","=""""","=""""",,"=""30787.2817""","=""35618.4806""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d6""","=""c 5D""","=""1""",3,3,,"=""""","=""L14866""",
Cr,2,"=""2072.5042""","=""0.0006""","=""2072.5040""","=""0.0013""","=""0.0002""","=""4825.0806""","=""1""","=""""","=""""","=""""","=""""",,"=""105446.9938""","=""110272.075""","=""3d4.(5D).6s""","=""6D""","=""7/2""","=""3d4.(5D).6p""","=""6D*""","=""7/2""",8,8,,"=""""","=""L18847""",
Cr,2,"=""2080.2456""","=""0.0006""","=""2080.2443""","=""0.0013""","=""0.0013""","=""4807.1247""","=""1""","=""""","=""""","=""""","=""""",,"=""106275.1752""","=""111082.303""","=""3d4.(5D).6s""","=""4D""","=""7/2""","=""3d4.(5D).6p""","=""4D*""","=""5/2""",8,6,,"=""""","=""L18847""",
Cr,1,"=""2089.586""","=""0.005""","=""2089.5857""","=""0.0004""","=""0.000""","=""4785.637""","=""1""","=""""","=""""","=""""","=""""",,"=""30787.2817""","=""35572.9194""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d6""","=""c 5D""","=""2""",3,5,,"=""""","=""L14866""",
Cr,2,"=""2092.6364""","=""0.0004""","=""2092.6364""","=""0.0013""","="" 0.0000""","=""4778.6610""","=""2""","=""""","=""""","=""""","=""""",,"=""111269.149""","=""116047.810""","=""3d4.(5D).6p""","=""4D*""","=""7/2""","=""3d4.(5D).7s""","=""4D""","=""7/2""",8,8,,"=""""","=""L18847""",
Cr,1,"=""2100.961""","=""0.002""","=""2100.9599""","=""0.0004""","=""0.0011""","=""4759.727""","=""11""","=""""","=""""","=""""","=""""",,"=""30858.7516""","=""35618.4806""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d6""","=""c 5D""","=""1""",5,3,,"=""""","=""L14866""",
