,element,spectrum_number,wavelength_nm,intensity,log10_intensity,tags,visible
5177,Ar,2,2606.6181,8.0,0.9030899869919435,None,False
5178,Ar,2,2626.2216,66.0,1.8195439355418688,None,False
5179,Ar,2,2638.3832,17.0,1.2304489213782739,None,False
5180,Ar,2,2655.5215,28.0,1.4471580313422192,None,False
5181,Ar,2,2667.4536,16.0,1.2041199826559248,None,False
5182,Ar,2,2678.2073,23.0,1.3617278360175928,None,False
5183,Ar,2,2679.6756,8.0,0.9030899869919435,None,False
5184,Ar,2,2682.7505,5.0,0.6989700043360189,None,False
5185,Ar,2,2683.9516,13.0,1.1139433523068367,None,False
5186,Ar,2,2703.7028,56.0,1.7481880270062005,None,False
5187,Ar,2,2706.2002,224.0,2.3502480183341627,None,False
5188,Ar,2,2715.0185,9.0,0.9542425094393249,None,False
5189,Ar,2,2719.4463,17.0,1.2304489213782739,None,False
5190,Ar,2,2720.147,5.0,0.6989700043360189,None,False
5191,Ar,2,2727.449,3.0,0.47712125471966244,None,False
5192,Ar,2,2743.8173,46.0,1.662757831681574,None,False
5193,Ar,2,2750.321,6.0,0.7781512503836436,None,False
5194,Ar,2,2757.833,5.0,0.6989700043360189,None,False
5195,Ar,2,2762.0536,68.0,1.8325089127062364,None,False
5196,Ar,2,2762.2573,10.0,1.0,None,False
5197,Ar,2,2764.501,257.0,2.4099331233312946,None,False
5198,Ar,2,2765.1969,5.0,0.6989700043360189,None,False
5199,Ar,2,2765.4879,10.0,1.0,None,False
5200,Ar,2,2768.2964,30.0,1.4771212547196624,None,False
5201,Ar,2,2792.9752,25.0,1.3979400086720377,None,False
5202,Ar,2,2807.269,7.0,0.8450980400142568,None,False
5203,Ar,2,2807.358,34.0,1.5314789170422551,None,False
5204,Ar,2,2841.0252,26.0,1.414973347970818,None,False
5205,Ar,2,2842.7457,7.0,0.8450980400142568,None,False
5206,Ar,2,2855.6653,8.0,0.9030899869919435,None,False
5207,Ar,2,2860.4438,9.0,0.9542425094393249,None,False
5208,Ar,2,2860.7981,24.0,1.380211241711606,None,False
5209,Ar,2,2865.335,5.0,0.6989700043360189,None,False
