390.0,0.690547,0.309452,0.855670
390.1,0.690464,0.309535,0.854862
390.2,0.690380,0.309620,0.854072
390.3,0.690294,0.309706,0.853297
390.4,0.690207,0.309793,0.852539
390.5,0.690118,0.309882,0.851798
390.6,0.690028,0.309972,0.851073
390.7,0.689936,0.310064,0.850364
390.8,0.689843,0.310157,0.849672
390.9,0.689748,0.310252,0.848996
391.0,0.689652,0.310348,0.848337
391.1,0.689555,0.310445,0.847694
391.2,0.689456,0.310544,0.847068
391.3,0.689356,0.310644,0.846458
391.4,0.689254,0.310745,0.845864
391.5,0.689152,0.310848,0.845287
391.6,0.689048,0.310952,0.844726
391.7,0.688942,0.311057,0.844182
391.8,0.688836,0.311164,0.843654
391.9,0.688728,0.311272,0.843143
392.0,0.688619,0.311381,0.842648
392.1,0.688509,0.311491,0.842169
392.2,0.688398,0.311602,0.841707
392.3,0.688285,0.311715,0.841261
392.4,0.688171,0.311828,0.840832
392.5,0.688057,0.311943,0.840419
392.6,0.687941,0.312059,0.840023
392.7,0.687824,0.312176,0.839643
392.8,0.687706,0.312294,0.839280
392.9,0.687587,0.312413,0.838933
393.0,0.687467,0.312533,0.838603
393.1,0.687345,0.312654,0.838289
393.2,0.687223,0.312776,0.837992
393.3,0.687100,0.312900,0.837711
393.4,0.686976,0.313024,0.837447
393.5,0.686851,0.313149,0.837200
393.6,0.686725,0.313275,0.836969
393.7,0.686598,0.313401,0.836755
393.8,0.686470,0.313529,0.836557
393.9,0.686342,0.313658,0.836376
394.0,0.686212,0.313787,0.836212
394.1,0.686082,0.313918,0.836065
394.2,0.685951,0.314049,0.835934
394.3,0.685819,0.314181,0.835820
394.4,0.685686,0.314313,0.835723
394.5,0.685553,0.314447,0.835643
394.6,0.685418,0.314581,0.835579
394.7,0.685284,0.314716,0.835533
394.8,0.685148,0.314852,0.835503
394.9,0.685011,0.314988,0.835491
395.0,0.684874,0.315125,0.835495
395.1,0.684737,0.315263,0.835517
395.2,0.684598,0.315401,0.835555
395.3,0.684459,0.315540,0.835611
395.4,0.684320,0.315680,0.835683
395.5,0.684180,0.315820,0.835773
395.6,0.684039,0.315961,0.835880
395.7,0.683898,0.316102,0.836005
395.8,0.683756,0.316244,0.836146
395.9,0.683614,0.316386,0.836305
396.0,0.683471,0.316529,0.836482
396.1,0.683328,0.316672,0.836676
396.2,0.683184,0.316816,0.836887
396.3,0.683040,0.316960,0.837116
396.4,0.682895,0.317104,0.837362
396.5,0.682750,0.317249,0.837626
396.6,0.682605,0.317395,0.837908
396.7,0.682459,0.317540,0.838207
396.8,0.682313,0.317686,0.838524
396.9,0.682167,0.317833,0.838859
397.0,0.682020,0.317979,0.839212
397.1,0.681873,0.318126,0.839583
397.2,0.681726,0.318273,0.839972
397.3,0.681579,0.318421,0.840379
397.4,0.681431,0.318569,0.840804
397.5,0.681283,0.318716,0.841247
397.6,0.681135,0.318865,0.841709
397.7,0.680987,0.319013,0.842189
397.8,0.680838,0.319161,0.842687
397.9,0.680690,0.319310,0.843203
398.0,0.680541,0.319459,0.843739
398.1,0.680392,0.319607,0.844292
398.2,0.680243,0.319756,0.844865
398.3,0.680094,0.319905,0.845456
398.4,0.679945,0.320054,0.846066
398.5,0.679796,0.320203,0.846695
398.6,0.679647,0.320352,0.847343
398.7,0.679498,0.320501,0.848010
398.8,0.679350,0.320650,0.848696
398.9,0.679201,0.320799,0.849401
399.0,0.679052,0.320948,0.850126
399.1,0.678903,0.321097,0.850869
399.2,0.678754,0.321245,0.851633
399.3,0.678606,0.321394,0.852416
399.4,0.678457,0.321542,0.853218
399.5,0.678309,0.321690,0.854041
399.6,0.678161,0.321838,0.854883
399.7,0.678013,0.321986,0.855745
399.8,0.677866,0.322134,0.856627
399.9,0.677718,0.322281,0.857529
400.0,0.677571,0.322428,0.858451
400.1,0.677424,0.322575,0.859394
